database_name,table_name,column_name,column_types,column_class
drawSQL-mysql-export-2026-01-13_cachet,actions,id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,actions,class_name,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,actions,user_id,BIGINT,num
drawSQL-mysql-export-2026-01-13_cachet,actions,username,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,actions,information,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,actions,description,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,actions,created_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,actions,updated_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,cache,key,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,cache,value,TEXT,string
drawSQL-mysql-export-2026-01-13_cachet,cache,expiration,INT,num
drawSQL-mysql-export-2026-01-13_cachet,component_groups,id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,component_groups,name,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,component_groups,order,INT,num
drawSQL-mysql-export-2026-01-13_cachet,component_groups,visible,TINYINT,num
drawSQL-mysql-export-2026-01-13_cachet,component_groups,collapsed,INT,num
drawSQL-mysql-export-2026-01-13_cachet,component_groups,created_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,component_groups,updated_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,components,id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,components,name,VARCHAR(255),string
drawSQL-mysql-export-2026-01-13_cachet,components,description,TEXT,string
drawSQL-mysql-export-2026-01-13_cachet,components,link,TEXT,string
drawSQL-mysql-export-2026-01-13_cachet,components,status,INT,num
drawSQL-mysql-export-2026-01-13_cachet,components,order,INT,num
drawSQL-mysql-export-2026-01-13_cachet,components,group_id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,components,user_id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,components,enabled,TINYINT,num
drawSQL-mysql-export-2026-01-13_cachet,components,meta,LONGTEXT,string
drawSQL-mysql-export-2026-01-13_cachet,components,created_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,components,updated_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,components,deleted_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,failed_jobs,id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,failed_jobs,connection,TEXT,string
drawSQL-mysql-export-2026-01-13_cachet,failed_jobs,queue,TEXT,string
drawSQL-mysql-export-2026-01-13_cachet,failed_jobs,payload,TEXT,string
drawSQL-mysql-export-2026-01-13_cachet,failed_jobs,failed_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,incident_components,id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,incident_components,incident_id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,incident_components,component_id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,incident_components,status_id,INT,num
drawSQL-mysql-export-2026-01-13_cachet,incident_components,created_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,incident_components,updated_at,TIMESTAMP,date
drawSQL-mysql-export-2026-01-13_cachet,incident_templates,id,INT,num
