database_name	num_database_tables	avg_Num_tables	avg_Num_joins	avg_Num_subqueries	avg_Max_nesting_depth	avg_Num_aggs_plus_group_by	avg_Advanced_feature_count
drawSQL-mysql-export-2026-01-13_cachet	24	1.29	0.25	0.17	0.83	0.67	0.25
drawSQL-mysql-export-2026-01-13_comfy	24	1.25	0.17	0.12	0.67	0.58	0.29
drawSQL-mysql-export-2026-01-13_koel	11	1.33	0.17	0.21	0.75	0.54	0.29
drawSQL-mysql-export-2026-01-13_laravelspark	12	1.21	0.12	0.12	0.75	0.71	0.29
drawSQL-mysql-export-2026-01-13_permissions	5	1.38	0.21	0.21	0.71	0.54	0.29
drawSQL-mysql-export-2026-01-13_refinery	9	1.58	0.38	0.25	0.67	0.50	0.25
drawSQL-mysql-export-2026-01-13_snipe	37	1.42	0.25	0.29	0.88	0.58	0.38
drawSQL-mysql-export-2026-01-13_stripe	3	1.21	0.12	0.21	0.79	0.54	0.38
drawSQL-mysql-export-2026-01-13_ticket	5	1.33	0.17	0.21	0.67	0.50	0.29
drawSQL-mysql-export-2026-01-13_voyager	11	1.38	0.21	0.21	0.75	0.54	0.29
drawSQL-mysql-export-2026-01-13_wordpress	16	1.29	0.17	0.17	0.54	0.46	0.25
drawSQL-mysql-export-2026-02-02 _attendize	33	1.25	0.17	0.12	0.67	0.58	0.29
drawSQL-mysql-export-2026-02-02_activity_log	1	1.08	0.00	0.21	0.75	0.54	0.38
drawSQL-mysql-export-2026-02-02_akaunting	45	1.33	0.21	0.21	0.71	0.46	0.33
drawSQL-mysql-export-2026-02-02_authority	4	1.29	0.21	0.21	0.79	0.58	0.38
drawSQL-mysql-export-2026-02-02_bookstack	29	1.25	0.17	0.21	0.83	0.62	0.38
drawSQL-mysql-export-2026-02-02_cabot	21	1.33	0.17	0.21	0.62	0.50	0.25
drawSQL-mysql-export-2026-02-02_django	10	1.50	0.29	0.25	0.62	0.46	0.25
drawSQL-mysql-export-2026-02-02_flarum	24	1.21	0.12	0.12	0.71	0.62	0.29
drawSQL-mysql-export-2026-02-02_healthchecks	12	1.25	0.17	0.12	0.71	0.67	0.29
drawSQL-mysql-export-2026-02-02_monica	89	1.33	0.17	0.21	0.75	0.58	0.29
drawSQL-mysql-export-2026-02-02_reversion	4	1.46	0.33	0.17	0.54	0.38	0.21
drawSQL-mysql-export-2026-02-02_robots	6	1.50	0.29	0.25	0.58	0.42	0.25
drawSQL-mysql-export-2026-02-02_silk	5	1.33	0.17	0.21	0.75	0.62	0.29
drawSQL-mysql-export-2026-02-02_taggit	2	1.33	0.12	0.29	0.67	0.42	0.33
drawSQL-mysql-export-2026-02-02_two_factor_auth	2	1.29	0.12	0.21	0.75	0.54	0.29
drawSQL-mysql-export-2026-02-02_user_sessions	2	1.29	0.12	0.21	0.71	0.50	0.29
drawSQL-mysql-export-2026-02-02_wagtail	33	1.42	0.21	0.25	0.62	0.46	0.25
drawSQL-mysql-export-2026-02-03 _cms	30	1.46	0.29	0.29	0.83	0.54	0.38
drawSQL-mysql-export-2026-02-03_airbnb	5	1.38	0.25	0.17	0.67	0.50	0.25
drawSQL-mysql-export-2026-02-03_axes	2	1.08	0.00	0.12	0.71	0.62	0.29
drawSQL-mysql-export-2026-02-03_devise	1	1.08	0.00	0.12	0.62	0.50	0.29
drawSQL-mysql-export-2026-02-03_emails	3	1.21	0.12	0.21	0.83	0.62	0.38
drawSQL-mysql-export-2026-02-03_filer	10	1.50	0.33	0.21	0.58	0.42	0.25
drawSQL-mysql-export-2026-02-03_hackernews	23	1.38	0.21	0.21	0.71	0.54	0.29
drawSQL-mysql-export-2026-02-03_oauth	5	1.38	0.21	0.21	0.75	0.54	0.29
drawSQL-mysql-export-2026-02-03_phpweb	3	1.08	0.00	0.12	0.62	0.50	0.29
drawSQL-mysql-export-2026-02-03_pushnotif	5	1.33	0.17	0.21	0.75	0.54	0.29
drawSQL-mysql-export-2026-02-03_school	37	1.25	0.17	0.21	0.79	0.62	0.38
drawSQL-mysql-export-2026-02-03_tags	2	1.29	0.12	0.29	0.88	0.62	0.38
drawSQL-mysql-export-2026-02-03_thumbnails	3	1.46	0.25	0.25	0.58	0.42	0.25
drawSQL-mysql-export-2026-02-03_twitter	3	1.21	0.12	0.12	0.71	0.62	0.29
drawSQL-mysql-export-2026-02-09 _deployer	24	1.21	0.12	0.21	0.83	0.62	0.38
drawSQL-mysql-export-2026-02-09_adonis	6	1.29	0.17	0.17	0.54	0.33	0.21
drawSQL-mysql-export-2026-02-09_bouncer	4	1.38	0.21	0.29	0.88	0.62	0.38
drawSQL-mysql-export-2026-02-09_buddypress	20	1.29	0.12	0.21	0.75	0.62	0.29
drawSQL-mysql-export-2026-02-09_canvas	9	1.33	0.17	0.21	0.71	0.54	0.29
drawSQL-mysql-export-2026-02-09_cashier	3	1.17	0.08	0.21	0.79	0.62	0.38
drawSQL-mysql-export-2026-02-09_chatwood	27	1.25	0.17	0.21	0.83	0.62	0.38
drawSQL-mysql-export-2026-02-09_defender	6	1.38	0.21	0.21	0.75	0.58	0.29
drawSQL-mysql-export-2026-02-09_diaspora	47	1.17	0.08	0.12	0.75	0.71	0.29
drawSQL-mysql-export-2026-02-09_djangoorg	4	1.46	0.33	0.17	0.50	0.33	0.21
drawSQL-mysql-export-2026-02-09_doorkeeper	4	1.25	0.17	0.12	0.71	0.62	0.29
drawSQL-mysql-export-2026-02-09_featureflags	6	1.33	0.21	0.17	0.62	0.46	0.25
drawSQL-mysql-export-2026-02-09_flipper	2	1.04	0.00	0.08	0.62	0.54	0.25
drawSQL-mysql-export-2026-02-09_freescout	19	1.25	0.17	0.21	0.75	0.54	0.38
drawSQL-mysql-export-2026-02-09_gravity	3	1.29	0.17	0.17	0.62	0.46	0.25
drawSQL-mysql-export-2026-02-09_handesk	22	1.21	0.12	0.21	0.96	0.71	0.38
drawSQL-mysql-export-2026-02-09_homeland	22	1.33	0.25	0.12	0.67	0.58	0.29
