id,template,count
1,SELECT * FROM table_name LIMIT num;,324
2,"SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);",180
3,SELECT table_alias1.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias0.col_name = string,166
4,SELECT * FROM table_name;,163
5,SELECT COUNT(*) FROM table_name;,161
6,"SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;",153
7,SELECT col_name FROM table_name WHERE col_name = string,146
8,SELECT table_alias0.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name = string,121
9,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;,112
10,SELECT * FROM table_name WHERE id = num;,98
11,"WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;",85
12,"SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;",76
13,SELECT COUNT(col_name) FROM table_name WHERE col_name = string,72
14,SELECT * FROM table_name WHERE id NOT IN (SELECT DISTINCT col_name FROM table_name WHERE col_name IS NOT NULL);,59
15,"SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;",55
16,SELECT table_alias0.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name = num,55
17,SELECT COUNT(table_alias0.col_name) FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name = string,54
18,SELECT * FROM table_name WHERE col_name = num;,52
19,"SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 <= num;",46
20,SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;,44
21,SELECT table_alias1.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias0.col_name = num,44
22,SELECT COUNT(table_alias1.col_name) FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias0.col_name = string,43
23,SELECT table_alias0.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name INNER JOIN table_name AS table_alias2 ON table_alias1.col_name = table_alias2.col_name WHERE table_alias2.col_name = string,41
24,SELECT col_name FROM table_name WHERE col_name = num,37
25,SELECT DISTINCT table_alias0.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name = string,36
26,SELECT col_name FROM table_name ORDER BY col_name DESC LIMIT num,36
27,SELECT table_alias2.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name INNER JOIN table_name AS table_alias2 ON table_alias1.col_name = table_alias2.col_name WHERE table_alias0.col_name = string,35
28,SELECT COUNT(col_name) FROM table_name WHERE col_name = num,30
29,"SELECT table_alias1.col_name, table_alias1.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias0.col_name = string",25
30,SELECT table_alias0.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name ORDER BY table_alias1.col_name DESC LIMIT num,24
31,SELECT table_alias1.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name ORDER BY table_alias0.col_name DESC LIMIT num,24
32,SELECT DISTINCT table_alias1.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias0.col_name = string,22
33,SELECT col_name FROM table_name GROUP BY col_name ORDER BY COUNT(col_name) DESC LIMIT num,22
34,"SELECT col_name, col_name FROM table_name WHERE col_name = string",22
35,SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id LEFT JOIN table_name ON table_name.col_name = table_name.id;,21
36,SELECT col_name FROM table_name WHERE col_name = ( SELECT MAX(col_name) FROM table_name ),21
37,"SELECT table_alias0.col_name, table_alias0.col_name FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name = string",20
38,SELECT COUNT(table_alias0.col_name) FROM table_name AS table_alias0 INNER JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name = string AND table_alias0.col_name = string,18
39,SELECT DISTINCT col_name FROM table_name WHERE col_name = string,18
