id,soft_template,counts
1,SELECT variable FROM variable GROUP BY variable ORDER BY count(*) DESC LIMIT variable,70
2,SELECT variable FROM variable ORDER BY variable DESC LIMIT variable,22
3,SELECT variable FROM variable GROUP BY variable ORDER BY sum(variable) DESC LIMIT variable,18
4,SELECT max(variable) FROM variable,12
5,SELECT variable FROM variable GROUP BY variable ORDER BY count(variable) DESC LIMIT variable,12
6,"SELECT variable, variable FROM variable",12
7,SELECT variable FROM variable WHERE variable = variable,10
8,SELECT DISTINCT variable FROM variable,8
9,SELECT count(DISTINCT variable) FROM variable,8
10,SELECT count(*) FROM variable WHERE variable > variable,6
11,SELECT variable FROM variable GROUP BY variable ORDER BY avg(variable) DESC LIMIT variable,6
12,SELECT variable FROM variable ORDER BY variable LIMIT variable,6
13,SELECT variable FROM variable WHERE variable = variable GROUP BY variable ORDER BY count(*) DESC LIMIT variable,6
14,SELECT DISTINCT variable FROM variable WHERE variable !=,4
15,SELECT count(*) FROM variable WHERE variable = MISSING/NOT SPECIFIED,4
16,SELECT count(*) FROM variable WHERE variable = variable,4
17,"SELECT count(*), variable FROM variable GROUP BY variable",4
18,"SELECT sum(variable), variable FROM variable GROUP BY variable",4
19,SELECT variable FROM variable GROUP BY variable ORDER BY count(*) LIMIT variable,4
20,SELECT variable FROM variable WHERE variable = AP,4
21,SELECT variable FROM variable WHERE variable = AP GROUP BY variable ORDER BY count(*) DESC LIMIT variable,4
22,SELECT variable FROM variable WHERE variable = Under Construction GROUP BY variable ORDER BY count(*) DESC LIMIT variable,4
23,SELECT variable FROM variable WHERE variable = Violence and sexual offences ORDER BY variable DESC LIMIT variable,4
24,SELECT variable FROM variable WHERE variable = variable ORDER BY variable DESC LIMIT variable,4
25,SELECT variable.variable FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable WHERE variable.variable = Y GROUP BY variable.variable ORDER BY count(*) DESC LIMIT variable,4
26,SELECT * FROM variable WHERE (variable + variable) = variable,2
27,SELECT * FROM variable WHERE variable = Spain AND variable = A,2
28,SELECT * FROM variable WHERE variable = TX AND variable LIKE Campfire,2
29,SELECT * FROM variable WHERE variable = UT AND variable = variable ORDER BY variable DESC LIMIT variable,2
30,SELECT * FROM variable WHERE variable = variable AND variable = D AND variable = Premier variable,2
31,SELECT * FROM variable WHERE variable > variable,2
32,SELECT DISTINCT variable FROM variable WHERE variable = willite01,2
33,SELECT DISTINCT variable FROM variable WHERE variable > variable AND variable = album,2
34,SELECT avg( variable - variable ) FROM variable,2
35,SELECT avg( variable - variable) FROM variable WHERE variable = USA,2
36,SELECT avg(variable - variable) FROM variable,2
37,SELECT avg(variable) FROM variable,2
38,SELECT avg(variable) FROM variable where variable BETWEEN variable AND variable,2
39,SELECT avg(variable.variable - variable.variable) FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable WHERE variable.variable = Y,2
40,SELECT avg(variable.variable) FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable GROUP BY variable,2
41,SELECT avg(variable.variable) FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable WHERE variable.variable = N,2
42,SELECT avg(variable.variable) FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable WHERE variable.variable = TSN All-Star AND variable = 3B,2
43,SELECT avg(variable.variable) FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable WHERE variable.variable = Virginia,2
44,SELECT avg(variable.variable) FROM variable as variable JOIN variable as variable ON variable.variable = variable.variable WHERE variable.variable = Y,2
45,SELECT count(*) FROM ( SELECT variable FROM variable GROUP BY variable HAVING count(*) > variable ),2
46,SELECT count(*) FROM (SELECT variable FROM variable GROUP BY variable HAVING count(*) > variable),2
47,SELECT count(*) FROM variable,2
48,SELECT count(*) FROM variable WHERE variable !=  AND variable !=  AND variable !=,2
49,SELECT count(*) FROM variable WHERE variable + variable > variable,2
50,SELECT count(*) FROM variable WHERE variable = France and variable = Operational,2
51,SELECT count(*) FROM variable WHERE variable = Gloucester AND variable > variable,2
52,SELECT count(*) FROM variable WHERE variable = Japan AND variable = Under Construction,2
53,SELECT count(*) FROM variable WHERE variable = PHWR,2
54,SELECT count(*) FROM variable WHERE variable = Shutdown,2
55,SELECT count(*) FROM variable WHERE variable = Under investigation,2
56,SELECT count(*) FROM variable WHERE variable = variable AND variable = variable,2
57,SELECT count(*) FROM variable WHERE variable = variable AND variable > variable,2
58,SELECT count(*) FROM variable WHERE variable = variable AND variable LIKE %Arson%,2
59,SELECT count(*) FROM variable WHERE variable LIKE %Campfire% AND variable = variable,2
60,SELECT count(*) FROM variable WHERE variable LIKE %Drug%,2
