hard_templates
SELECT sum( col_name ) FROM table_name
SELECT col_name , col_name FROM table_name ORDER BY col_name DESC LIMIT num
SELECT sum( col_name ) FROM table_name ORDER BY col_name DESC LIMIT num
SELECT col_name , col_name FROM table_name WHERE col_name > num
SELECT col_name , col_name FROM table_name ORDER BY col_name LIMIT num
SELECT table_alias0.col_name FROM table_name AS table_alias0 JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name WHERE table_alias1.col_name < (SELECT max( col_name ) FROM table_name)
SELECT col_name , col_name FROM table_name ORDER BY col_name DESC LIMIT num
SELECT avg( col_name ) FROM table_name WHERE col_name > num
SELECT col_name , col_name FROM table_name ORDER BY col_name
SELECT col_name , col_name FROM table_name WHERE col_name > num OR col_name < num
SELECT max( col_name ) , avg( col_name ) FROM table_name WHERE col_name < num
SELECT table_alias0.col_name , table_alias0.col_name FROM table_name AS table_alias0 JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name ORDER BY table_alias1.col_name DESC LIMIT num
SELECT count(*) , table_alias0.col_name FROM table_name AS table_alias0 JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name GROUP BY table_alias0.col_name
SELECT table_alias0.col_name , table_alias1.col_name FROM table_name AS table_alias0 JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name
SELECT col_name , col_name FROM table_name WHERE col_name NOT IN (SELECT col_name FROM table_name)
SELECT table_alias2.col_name FROM table_name AS table_alias0 JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name JOIN table_name AS table_alias2 ON table_alias1.col_name = table_alias2.col_name WHERE table_alias0.col_name < num INTERSECT SELECT table_alias2.col_name FROM table_name AS table_alias0 JOIN table_name AS table_alias1 ON table_alias0.col_name = table_alias1.col_name JOIN table_name AS table_alias2 ON table_alias1.col_name = table_alias2.col_name WHERE table_alias0.col_name > num
