soft_templates
SELECT count(*) FROM variable
SELECT DISTINCT variable FROM variable
SELECT variable , variable FROM variable ORDER BY variable
SELECT variable , count(*) FROM variable GROUP BY variable
SELECT variable , count(*) FROM variable GROUP BY variable
SELECT variable , variable FROM variable WHERE variable NOT IN (SELECT variable FROM variable)
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable = string
SELECT variable , count(*) FROM variable GROUP BY variable
SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable = string GROUP BY variable HAVING count(*) >= num
SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable GROUP BY variable ORDER BY count(*) DESC LIMIT num
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable = string INTERSECT SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable = string
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable
SELECT DISTINCT variable FROM variable
SELECT variable , variable FROM variable WHERE variable = string OR variable = string
SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable = string AND variable = string
