soft_templates
SELECT sum( variable ) FROM variable
SELECT variable , variable FROM variable ORDER BY variable DESC LIMIT num
SELECT sum( variable ) FROM variable ORDER BY variable DESC LIMIT num
SELECT variable , variable FROM variable WHERE variable > num
SELECT variable , variable FROM variable ORDER BY variable LIMIT num
SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable < (SELECT max( variable ) FROM variable)
SELECT variable , variable FROM variable ORDER BY variable DESC LIMIT num
SELECT avg( variable ) FROM variable WHERE variable > num
SELECT variable , variable FROM variable ORDER BY variable
SELECT variable , variable FROM variable WHERE variable > num OR variable < num
SELECT max( variable ) , avg( variable ) FROM variable WHERE variable < num
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable ORDER BY variable DESC LIMIT num
SELECT count(*) , variable FROM variable AS variable JOIN variable AS variable ON variable = variable GROUP BY variable
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable
SELECT variable , variable FROM variable WHERE variable NOT IN (SELECT variable FROM variable)
SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable JOIN variable AS variable ON variable = variable WHERE variable < num INTERSECT SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable JOIN variable AS variable ON variable = variable WHERE variable > num
