soft_templates
SELECT variable , variable FROM variable
SELECT variable , variable FROM variable ORDER BY variable
SELECT variable , variable FROM variable WHERE variable = string ORDER BY variable
SELECT count(*) FROM variable WHERE variable LIKE string
SELECT variable , variable FROM variable WHERE variable = string AND variable = string
SELECT variable , count(*) FROM variable GROUP BY variable
SELECT variable FROM variable AS variable JOIN variable AS variable ON variable = variable GROUP BY variable ORDER BY count(*) DESC LIMIT num
SELECT count(*) , variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable GROUP BY variable
SELECT avg( variable ) , variable FROM variable GROUP BY variable
SELECT max(variable) , avg(variable) FROM variable AS variable JOIN variable AS variable ON variable = variable WHERE variable = string
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable JOIN variable AS variable ON variable = variable WHERE variable = string
SELECT count(DISTINCT variable ) FROM variable
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable GROUP BY variable ORDER BY avg( variable ) DESC LIMIT num
SELECT variable , variable FROM variable AS variable JOIN variable AS variable ON variable = variable GROUP BY variable HAVING max(variable) > num
SELECT min( variable ) , max( variable ) FROM variable
SELECT variable FROM variable GROUP BY variable HAVING count(*) > num
