sql_query
SELECT local_authority ,  services FROM station
SELECT train_number ,  name FROM train ORDER BY TIME
SELECT TIME ,  train_number FROM train WHERE destination  =  'Chennai' ORDER BY TIME
SELECT count(*) FROM train WHERE name LIKE "%Express%"
SELECT train_number ,  TIME FROM train WHERE origin  =  'Chennai' AND destination  =  'Guruvayur'
SELECT origin ,  count(*) FROM train GROUP BY origin
SELECT t1.name FROM train AS t1 JOIN route AS t2 ON t1.id  =  t2.train_id GROUP BY t2.train_id ORDER BY count(*) DESC LIMIT 1
SELECT count(*) ,  t1.network_name ,  t1.services FROM station AS t1 JOIN route AS t2 ON t1.id  =  t2.station_id GROUP BY t2.station_id
SELECT avg(high_temperature) ,  day_of_week FROM weekly_weather GROUP BY day_of_week
SELECT max(t1.low_temperature) ,  avg(t1.precipitation) FROM weekly_weather AS t1 JOIN station AS t2 ON t1.station_id  =  t2.id WHERE t2.network_name  =  "Amersham"
SELECT t3.name ,  t3.time FROM station AS t1 JOIN route AS t2 ON t1.id  =  t2.station_id JOIN train AS t3 ON t2.train_id  =  t3.id WHERE t1.local_authority  =  "Chiltern"
SELECT count(DISTINCT services) FROM station
SELECT t2.id ,  t2.local_authority FROM weekly_weather AS t1 JOIN station AS t2 ON t1.station_id  =  t2.id GROUP BY t1.station_id ORDER BY avg(high_temperature) DESC LIMIT 1
SELECT t2.id ,  t2.local_authority FROM weekly_weather AS t1 JOIN station AS t2 ON t1.station_id  =  t2.id GROUP BY t1.station_id HAVING max(t1.precipitation)  >  50
SELECT min(low_temperature) ,  max(wind_speed_mph) FROM weekly_weather
SELECT origin FROM train GROUP BY origin HAVING count(*)  >  1
