table_name,column_name,column_types
games_wide,gameId,string
games_wide,seasonId,string
games_wide,seasonType,string
games_wide,year,num
games_wide,startTime,date
games_wide,gameStatus,string
games_wide,attendance,num
games_wide,dayNight,string
games_wide,duration,string
games_wide,durationMinutes,num
games_wide,awayTeamId,string
games_wide,awayTeamName,string
games_wide,homeTeamId,string
games_wide,homeTeamName,string
games_wide,venueId,string
games_wide,venueName,string
games_wide,venueSurface,string
games_wide,venueCapacity,num
games_wide,venueCity,string
games_wide,venueState,string
games_wide,venueZip,string
games_wide,venueMarket,string
games_wide,venueOutfieldDistances,string
games_wide,homeFinalRuns,num
games_wide,homeFinalHits,num
games_wide,homeFinalErrors,num
games_wide,awayFinalRuns,num
games_wide,awayFinalHits,num
games_wide,awayFinalErrors,num
games_wide,homeFinalRunsForInning,num
games_wide,awayFinalRunsForInning,num
games_wide,inningNumber,num
games_wide,inningHalf,string
games_wide,inningEventType,string
games_wide,inningHalfEventSequenceNumber,num
games_wide,description,string
games_wide,atBatEventType,string
games_wide,atBatEventSequenceNumber,num
games_wide,createdAt,date
games_wide,updatedAt,date
games_wide,status,string
games_wide,outcomeId,string
games_wide,outcomeDescription,string
games_wide,hitterId,string
games_wide,hitterLastName,string
games_wide,hitterFirstName,string
games_wide,hitterWeight,num
games_wide,hitterHeight,num
games_wide,hitterBatHand,string
games_wide,pitcherId,string
games_wide,pitcherFirstName,string
games_wide,pitcherLastName,string
games_wide,pitcherThrowHand,string
games_wide,pitchType,string
games_wide,pitchTypeDescription,string
games_wide,pitchSpeed,num
games_wide,pitchZone,num
games_wide,pitcherPitchCount,num
games_wide,hitterPitchCount,num
games_wide,hitLocation,num
games_wide,hitType,string
games_wide,startingBalls,num
games_wide,startingStrikes,num
games_wide,startingOuts,num
games_wide,balls,num
games_wide,strikes,num
games_wide,outs,num
games_wide,rob0_start,string
games_wide,rob0_end,num
games_wide,rob0_isOut,string
games_wide,rob0_outcomeId,string
games_wide,rob0_outcomeDescription,string
games_wide,rob1_start,string
games_wide,rob1_end,num
games_wide,rob1_isOut,string
games_wide,rob1_outcomeId,string
games_wide,rob1_outcomeDescription,string
games_wide,rob2_start,string
games_wide,rob2_end,num
games_wide,rob2_isOut,string
games_wide,rob2_outcomeId,string
games_wide,rob2_outcomeDescription,string
games_wide,rob3_start,string
games_wide,rob3_end,num
games_wide,rob3_isOut,string
games_wide,rob3_outcomeId,string
games_wide,rob3_outcomeDescription,string
games_wide,is_ab,num
games_wide,is_ab_over,num
games_wide,is_hit,num
games_wide,is_on_base,num
games_wide,is_bunt,num
games_wide,is_bunt_shown,num
games_wide,is_double_play,num
games_wide,is_triple_play,num
games_wide,is_wild_pitch,num
games_wide,is_passed_ball,num
games_wide,homeCurrentTotalRuns,num
games_wide,awayCurrentTotalRuns,num
games_wide,awayFielder1,string
games_wide,awayFielder2,string
games_wide,awayFielder3,string
games_wide,awayFielder4,string
games_wide,awayFielder5,string
games_wide,awayFielder6,string
games_wide,awayFielder7,string
games_wide,awayFielder8,string
games_wide,awayFielder9,string
games_wide,awayFielder10,string
games_wide,awayFielder11,string
games_wide,awayFielder12,string
games_wide,awayBatter1,string
games_wide,awayBatter2,string
games_wide,awayBatter3,string
games_wide,awayBatter4,string
games_wide,awayBatter5,string
games_wide,awayBatter6,string
games_wide,awayBatter7,string
games_wide,awayBatter8,string
games_wide,awayBatter9,string
games_wide,homeFielder1,string
games_wide,homeFielder2,string
games_wide,homeFielder3,string
games_wide,homeFielder4,string
games_wide,homeFielder5,string
games_wide,homeFielder6,string
games_wide,homeFielder7,string
games_wide,homeFielder8,string
games_wide,homeFielder9,string
games_wide,homeFielder10,string
games_wide,homeFielder11,string
games_wide,homeFielder12,string
games_wide,homeBatter1,string
games_wide,homeBatter2,string
games_wide,homeBatter3,string
games_wide,homeBatter4,string
games_wide,homeBatter5,string
games_wide,homeBatter6,string
games_wide,homeBatter7,string
games_wide,homeBatter8,string
games_wide,homeBatter9,string
games_wide,lineupTeamId,string
games_wide,lineupPlayerId,string
games_wide,lineupPosition,num
games_wide,lineupOrder,num
schedules,gameId,string
schedules,gameNumber,num
schedules,seasonId,string
schedules,year,num
schedules,type,string
schedules,dayNight,string
schedules,duration,string
schedules,duration_minutes,num
schedules,homeTeamId,string
schedules,homeTeamName,string
schedules,awayTeamId,string
schedules,awayTeamName,string
schedules,startTime,date
schedules,attendance,num
schedules,status,string
schedules,created,date
games_post_wide,gameId,string
games_post_wide,seasonId,string
games_post_wide,seasonType,string
games_post_wide,year,num
games_post_wide,startTime,date
games_post_wide,gameStatus,string
games_post_wide,attendance,num
games_post_wide,dayNight,string
games_post_wide,duration,string
games_post_wide,durationMinutes,num
games_post_wide,awayTeamId,string
games_post_wide,awayTeamName,string
games_post_wide,homeTeamId,string
games_post_wide,homeTeamName,string
games_post_wide,venueId,string
games_post_wide,venueName,string
games_post_wide,venueSurface,string
games_post_wide,venueCapacity,num
games_post_wide,venueCity,string
games_post_wide,venueState,string
games_post_wide,venueZip,string
games_post_wide,venueMarket,string
games_post_wide,venueOutfieldDistances,string
games_post_wide,homeFinalRuns,num
games_post_wide,homeFinalHits,num
games_post_wide,homeFinalErrors,num
games_post_wide,awayFinalRuns,num
games_post_wide,awayFinalHits,num
games_post_wide,awayFinalErrors,num
games_post_wide,homeFinalRunsForInning,num
games_post_wide,awayFinalRunsForInning,num
games_post_wide,inningNumber,num
games_post_wide,inningHalf,string
games_post_wide,inningEventType,string
games_post_wide,inningHalfEventSequenceNumber,num
games_post_wide,description,string
games_post_wide,atBatEventType,string
games_post_wide,atBatEventSequenceNumber,num
games_post_wide,createdAt,date
games_post_wide,updatedAt,date
games_post_wide,status,string
games_post_wide,outcomeId,string
games_post_wide,outcomeDescription,string
games_post_wide,hitterId,string
games_post_wide,hitterLastName,string
games_post_wide,hitterFirstName,string
games_post_wide,hitterWeight,num
games_post_wide,hitterHeight,num
games_post_wide,hitterBatHand,string
games_post_wide,pitcherId,string
games_post_wide,pitcherFirstName,string
games_post_wide,pitcherLastName,string
games_post_wide,pitcherThrowHand,string
games_post_wide,pitchType,string
games_post_wide,pitchTypeDescription,string
games_post_wide,pitchSpeed,num
games_post_wide,pitchZone,num
games_post_wide,pitcherPitchCount,num
games_post_wide,hitterPitchCount,num
games_post_wide,hitLocation,num
games_post_wide,hitType,string
games_post_wide,startingBalls,num
games_post_wide,startingStrikes,num
games_post_wide,startingOuts,num
games_post_wide,balls,num
games_post_wide,strikes,num
games_post_wide,outs,num
