table_name,column_name,column_types
olist_customers,customer_id,string
olist_customers,customer_unique_id,string
olist_customers,customer_zip_code_prefix,num
olist_customers,customer_city,string
olist_customers,customer_state,string
olist_sellers,seller_id,string
olist_sellers,seller_zip_code_prefix,num
olist_sellers,seller_city,string
olist_sellers,seller_state,string
olist_order_reviews,review_id,string
olist_order_reviews,order_id,string
olist_order_reviews,review_score,num
olist_order_reviews,review_comment_title,string
olist_order_reviews,review_comment_message,string
olist_order_reviews,review_creation_date,string
olist_order_reviews,review_answer_timestamp,string
olist_order_items,order_id,string
olist_order_items,order_item_id,num
olist_order_items,product_id,string
olist_order_items,seller_id,string
olist_order_items,shipping_limit_date,string
olist_order_items,price,num
olist_order_items,freight_value,num
olist_products,product_id,string
olist_products,product_category_name,string
olist_products,product_name_lenght,num
olist_products,product_description_lenght,num
olist_products,product_photos_qty,num
olist_products,product_weight_g,num
olist_products,product_length_cm,num
olist_products,product_height_cm,num
olist_products,product_width_cm,num
olist_geolocation,geolocation_zip_code_prefix,num
olist_geolocation,geolocation_lat,num
olist_geolocation,geolocation_lng,num
olist_geolocation,geolocation_city,string
olist_geolocation,geolocation_state,string
product_category_name_translation,product_category_name,string
product_category_name_translation,product_category_name_english,string
olist_orders,order_id,string
olist_orders,customer_id,string
olist_orders,order_status,string
olist_orders,order_purchase_timestamp,string
olist_orders,order_approved_at,string
olist_orders,order_delivered_carrier_date,string
olist_orders,order_delivered_customer_date,string
olist_orders,order_estimated_delivery_date,string
olist_order_payments,order_id,string
olist_order_payments,payment_sequential,num
olist_order_payments,payment_type,string
olist_order_payments,payment_installments,num
olist_order_payments,payment_value,num
olist_products_dataset,index,num
olist_products_dataset,product_id,string
olist_products_dataset,product_category_name,string
olist_products_dataset,product_name_lenght,num
olist_products_dataset,product_description_lenght,num
olist_products_dataset,product_photos_qty,num
olist_products_dataset,product_weight_g,num
olist_products_dataset,product_length_cm,num
olist_products_dataset,product_height_cm,num
olist_products_dataset,product_width_cm,num
