table_name,column_name,column_types
Movie,index,num
Movie,MID,string
Movie,title,string
Movie,year,string
Movie,rating,num
Movie,num_votes,num
Genre,index,num
Genre,Name,string
Genre,GID,num
Language,index,num
Language,Name,string
Language,LAID,num
Country,index,num
Country,Name,string
Country,CID,num
Location,index,num
Location,Name,string
Location,LID,num
M_Location,index,num
M_Location,MID,string
M_Location,LID,num
M_Location,ID,num
M_Country,index,num
M_Country,MID,string
M_Country,CID,num
M_Country,ID,num
M_Language,index,num
M_Language,MID,string
M_Language,LAID,num
M_Language,ID,num
M_Genre,index,num
M_Genre,MID,string
M_Genre,GID,num
M_Genre,ID,num
Person,index,num
Person,PID,string
Person,Name,string
Person,Gender,string
M_Producer,index,num
M_Producer,MID,string
M_Producer,PID,string
M_Producer,ID,num
M_Director,index,num
M_Director,MID,string
M_Director,PID,string
M_Director,ID,num
M_Cast,index,num
M_Cast,MID,string
M_Cast,PID,string
M_Cast,ID,num
