table_name,column_name,column_types
Player_Attributes,id,num
Player_Attributes,player_fifa_api_id,num
Player_Attributes,player_api_id,num
Player_Attributes,date,string
Player_Attributes,overall_rating,num
Player_Attributes,potential,num
Player_Attributes,preferred_foot,string
Player_Attributes,attacking_work_rate,string
Player_Attributes,defensive_work_rate,string
Player_Attributes,crossing,num
Player_Attributes,finishing,num
Player_Attributes,heading_accuracy,num
Player_Attributes,short_passing,num
Player_Attributes,volleys,num
Player_Attributes,dribbling,num
Player_Attributes,curve,num
Player_Attributes,free_kick_accuracy,num
Player_Attributes,long_passing,num
Player_Attributes,ball_control,num
Player_Attributes,acceleration,num
Player_Attributes,sprint_speed,num
Player_Attributes,agility,num
Player_Attributes,reactions,num
Player_Attributes,balance,num
Player_Attributes,shot_power,num
Player_Attributes,jumping,num
Player_Attributes,stamina,num
Player_Attributes,strength,num
Player_Attributes,long_shots,num
Player_Attributes,aggression,num
Player_Attributes,interceptions,num
Player_Attributes,positioning,num
Player_Attributes,vision,num
Player_Attributes,penalties,num
Player_Attributes,marking,num
Player_Attributes,standing_tackle,num
Player_Attributes,sliding_tackle,num
Player_Attributes,gk_diving,num
Player_Attributes,gk_handling,num
Player_Attributes,gk_kicking,num
Player_Attributes,gk_positioning,num
Player_Attributes,gk_reflexes,num
Player,id,num
Player,player_api_id,num
Player,player_name,string
Player,player_fifa_api_id,num
Player,birthday,string
Player,height,num
Player,weight,num
Match,id,num
Match,country_id,num
Match,league_id,num
Match,season,string
Match,stage,num
Match,date,string
Match,match_api_id,num
Match,home_team_api_id,num
Match,away_team_api_id,num
Match,home_team_goal,num
Match,away_team_goal,num
Match,home_player_X1,num
Match,home_player_X2,num
Match,home_player_X3,num
Match,home_player_X4,num
Match,home_player_X5,num
Match,home_player_X6,num
Match,home_player_X7,num
Match,home_player_X8,num
Match,home_player_X9,num
Match,home_player_X10,num
Match,home_player_X11,num
Match,away_player_X1,num
Match,away_player_X2,num
Match,away_player_X3,num
Match,away_player_X4,num
Match,away_player_X5,num
Match,away_player_X6,num
Match,away_player_X7,num
Match,away_player_X8,num
Match,away_player_X9,num
Match,away_player_X10,num
Match,away_player_X11,num
Match,home_player_Y1,num
Match,home_player_Y2,num
Match,home_player_Y3,num
Match,home_player_Y4,num
Match,home_player_Y5,num
Match,home_player_Y6,num
Match,home_player_Y7,num
Match,home_player_Y8,num
Match,home_player_Y9,num
Match,home_player_Y10,num
Match,home_player_Y11,num
Match,away_player_Y1,num
Match,away_player_Y2,num
Match,away_player_Y3,num
Match,away_player_Y4,num
Match,away_player_Y5,num
Match,away_player_Y6,num
Match,away_player_Y7,num
Match,away_player_Y8,num
Match,away_player_Y9,num
Match,away_player_Y10,num
Match,away_player_Y11,num
Match,home_player_1,num
Match,home_player_2,num
Match,home_player_3,num
Match,home_player_4,num
Match,home_player_5,num
Match,home_player_6,num
Match,home_player_7,num
Match,home_player_8,num
Match,home_player_9,num
Match,home_player_10,num
Match,home_player_11,num
Match,away_player_1,num
Match,away_player_2,num
Match,away_player_3,num
Match,away_player_4,num
Match,away_player_5,num
Match,away_player_6,num
Match,away_player_7,num
Match,away_player_8,num
Match,away_player_9,num
Match,away_player_10,num
Match,away_player_11,num
Match,goal,string
Match,shoton,string
Match,shotoff,string
Match,foulcommit,string
Match,card,string
Match,cross,string
Match,corner,string
Match,possession,string
Match,B365H,num
Match,B365D,num
Match,B365A,num
Match,BWH,num
Match,BWD,num
Match,BWA,num
Match,IWH,num
Match,IWD,num
Match,IWA,num
Match,LBH,num
Match,LBD,num
Match,LBA,num
Match,PSH,num
Match,PSD,num
Match,PSA,num
Match,WHH,num
Match,WHD,num
Match,WHA,num
Match,SJH,num
Match,SJD,num
Match,SJA,num
Match,VCH,num
Match,VCD,num
Match,VCA,num
Match,GBH,num
Match,GBD,num
Match,GBA,num
Match,BSH,num
Match,BSD,num
Match,BSA,num
League,id,num
League,country_id,num
League,name,string
Country,id,num
Country,name,string
Team,id,num
Team,team_api_id,num
Team,team_fifa_api_id,num
Team,team_long_name,string
Team,team_short_name,string
Team_Attributes,id,num
Team_Attributes,team_fifa_api_id,num
Team_Attributes,team_api_id,num
Team_Attributes,date,string
Team_Attributes,buildUpPlaySpeed,num
Team_Attributes,buildUpPlaySpeedClass,string
Team_Attributes,buildUpPlayDribbling,num
Team_Attributes,buildUpPlayDribblingClass,string
Team_Attributes,buildUpPlayPassing,num
Team_Attributes,buildUpPlayPassingClass,string
Team_Attributes,buildUpPlayPositioningClass,string
Team_Attributes,chanceCreationPassing,num
Team_Attributes,chanceCreationPassingClass,string
Team_Attributes,chanceCreationCrossing,num
Team_Attributes,chanceCreationCrossingClass,string
Team_Attributes,chanceCreationShooting,num
Team_Attributes,chanceCreationShootingClass,string
Team_Attributes,chanceCreationPositioningClass,string
Team_Attributes,defencePressure,num
Team_Attributes,defencePressureClass,string
Team_Attributes,defenceAggression,num
Team_Attributes,defenceAggressionClass,string
Team_Attributes,defenceTeamWidth,num
Team_Attributes,defenceTeamWidthClass,string
Team_Attributes,defenceDefenderLineClass,string
match_view,id,num
match_view,league,string
match_view,season,string
match_view,match_api_id,num
match_view,home_team,string
match_view,away_team,string
match_view,home_team_goal,num
match_view,away_team_goal,num
match_view,home_gk,string
match_view,home_center_back_1,string
match_view,home_center_back_2,string
match_view,home_right_back,string
match_view,home_left_back,string
match_view,home_midfield_1,string
match_view,home_midfield_2,string
match_view,home_midfield_3,string
match_view,home_midfield_4,string
match_view,home_second_forward,string
match_view,home_center_forward,string
match_view,away_gk,string
match_view,away_center_back_1,string
match_view,away_center_back_2,string
match_view,away_right_back,string
match_view,away_left_back,string
match_view,away_midfield_1,string
match_view,away_midfield_2,string
match_view,away_midfield_3,string
match_view,away_midfield_4,string
match_view,away_second_forward,string
match_view,away_center_forward,string
match_view,goal,string
match_view,card,string
