table_name,column_name,column_types
Agents,AgentID,num
Agents,AgtFirstName,string
Agents,AgtLastName,string
Agents,AgtStreetAddress,string
Agents,AgtCity,string
Agents,AgtState,string
Agents,AgtZipCode,string
Agents,AgtPhoneNumber,string
Agents,DateHired,date
Agents,Salary,num
Agents,CommissionRate,num
Customers,CustomerID,num
Customers,CustFirstName,string
Customers,CustLastName,string
Customers,CustStreetAddress,string
Customers,CustCity,string
Customers,CustState,string
Customers,CustZipCode,string
Customers,CustPhoneNumber,string
Engagements,EngagementNumber,num
Engagements,StartDate,date
Engagements,EndDate,date
Engagements,StartTime,date
Engagements,StopTime,date
Engagements,ContractPrice,num
Engagements,CustomerID,num
Engagements,AgentID,num
Engagements,EntertainerID,num
Entertainer_Members,EntertainerID,num
Entertainer_Members,MemberID,num
Entertainer_Members,Status,num
Entertainer_Styles,EntertainerID,num
Entertainer_Styles,StyleID,num
Entertainer_Styles,StyleStrength,num
Entertainers,EntertainerID,num
Entertainers,EntStageName,string
Entertainers,EntSSN,string
Entertainers,EntStreetAddress,string
Entertainers,EntCity,string
Entertainers,EntState,string
Entertainers,EntZipCode,string
Entertainers,EntPhoneNumber,string
Entertainers,EntWebPage,string
Entertainers,EntEMailAddress,string
Entertainers,DateEntered,date
Members,MemberID,num
Members,MbrFirstName,string
Members,MbrLastName,string
Members,MbrPhoneNumber,string
Members,Gender,string
Musical_Preferences,CustomerID,num
Musical_Preferences,StyleID,num
Musical_Preferences,PreferenceSeq,num
Musical_Styles,StyleID,num
Musical_Styles,StyleName,string
ztblDays,DateField,date
ztblMonths,MonthYear,string
ztblMonths,YearNumber,num
ztblMonths,MonthNumber,num
ztblMonths,MonthStart,date
ztblMonths,MonthEnd,date
ztblMonths,January,num
ztblMonths,February,num
ztblMonths,March,num
ztblMonths,April,num
ztblMonths,May,num
ztblMonths,June,num
ztblMonths,July,num
ztblMonths,August,num
ztblMonths,September,num
ztblMonths,October,num
ztblMonths,November,num
ztblMonths,December,num
ztblSkipLabels,LabelCount,num
ztblWeeks,WeekStart,date
ztblWeeks,WeekEnd,date
