table_name,column_name,column_types
player,player_id,num
player,player_name,string
player,dob,date
player,batting_hand,string
player,bowling_skill,string
player,country_name,string
team,team_id,num
team,name,string
match,match_id,num
match,team_1,num
match,team_2,num
match,match_date,date
match,season_id,num
match,venue,string
match,toss_winner,num
match,toss_decision,string
match,win_type,string
match,win_margin,num
match,outcome_type,string
match,match_winner,num
match,man_of_the_match,num
player_match,match_id,num
player_match,player_id,num
player_match,role,string
player_match,team_id,num
ball_by_ball,match_id,num
ball_by_ball,over_id,num
ball_by_ball,ball_id,num
ball_by_ball,innings_no,num
ball_by_ball,team_batting,num
ball_by_ball,team_bowling,num
ball_by_ball,striker_batting_position,num
ball_by_ball,striker,num
ball_by_ball,non_striker,num
ball_by_ball,bowler,num
batsman_scored,match_id,num
batsman_scored,over_id,num
batsman_scored,ball_id,num
batsman_scored,runs_scored,num
batsman_scored,innings_no,num
wicket_taken,match_id,num
wicket_taken,over_id,num
wicket_taken,ball_id,num
wicket_taken,player_out,num
wicket_taken,kind_out,string
wicket_taken,innings_no,num
extra_runs,match_id,num
extra_runs,over_id,num
extra_runs,ball_id,num
extra_runs,extra_type,string
extra_runs,extra_runs,num
extra_runs,innings_no,num
