table_name,column_name,column_types
actor,actor_id,num
actor,first_name,string
actor,last_name,string
actor,last_update,date
country,country_id,num
country,country,string
country,last_update,date
city,city_id,num
city,city,string
city,country_id,num
city,last_update,date
address,address_id,num
address,address,string
address,address2,string
address,district,string
address,city_id,num
address,postal_code,string
address,phone,string
address,last_update,date
language,language_id,num
language,name,string
language,last_update,date
category,category_id,num
category,name,string
category,last_update,date
customer,customer_id,num
customer,store_id,num
customer,first_name,string
customer,last_name,string
customer,email,string
customer,address_id,num
customer,active,string
customer,create_date,date
customer,last_update,date
film,film_id,num
film,title,string
film,description,binary
film,release_year,string
film,language_id,num
film,original_language_id,num
film,rental_duration,num
film,rental_rate,num
film,length,num
film,replacement_cost,num
film,rating,string
film,special_features,string
film,last_update,date
film_actor,actor_id,num
film_actor,film_id,num
film_actor,last_update,date
film_category,film_id,num
film_category,category_id,num
film_category,last_update,date
film_text,film_id,num
film_text,title,string
film_text,description,binary
inventory,inventory_id,num
inventory,film_id,num
inventory,store_id,num
inventory,last_update,date
staff,staff_id,num
staff,first_name,string
staff,last_name,string
staff,address_id,num
staff,picture,binary
staff,email,string
staff,store_id,num
staff,active,num
staff,username,string
staff,password,string
staff,last_update,date
store,store_id,num
store,manager_staff_id,num
store,address_id,num
store,last_update,date
payment,payment_id,num
payment,customer_id,num
payment,staff_id,num
payment,rental_id,num
payment,amount,num
payment,payment_date,date
payment,last_update,date
rental,rental_id,num
rental,rental_date,date
rental,inventory_id,num
rental,customer_id,num
rental,return_date,date
rental,staff_id,num
rental,last_update,date
customer_list,ID,num
customer_list,address,string
customer_list,zip_code,string
customer_list,phone,string
customer_list,city,string
customer_list,country,string
customer_list,SID,num
film_list,FID,num
film_list,title,string
film_list,description,binary
film_list,category,string
film_list,price,num
film_list,length,num
film_list,rating,string
staff_list,ID,num
staff_list,address,string
staff_list,zip_code,string
staff_list,phone,string
staff_list,city,string
staff_list,country,string
staff_list,SID,num
sales_by_store,store_id,num
sales_by_film_category,category,string
