table_name,column_name,column_types
Promotions,id,num
Promotions,name,string
Tables,id,num
Tables,html,string
Tables,url,string
Cards,id,num
Cards,table_id,num
Cards,location_id,num
Cards,promotion_id,num
Cards,event_date,string
Cards,event_id,num
Cards,url,string
Cards,info_html,string
Cards,match_html,string
Locations,id,num
Locations,name,string
Events,id,num
Events,name,string
Matches,id,num
Matches,card_id,num
Matches,winner_id,string
Matches,win_type,string
Matches,loser_id,string
Matches,match_type_id,string
Matches,duration,string
Matches,title_id,string
Matches,title_change,num
Belts,id,num
Belts,name,string
Wrestlers,id,num
Match_Types,id,num
Match_Types,name,string
