table_name,column_name,column_type
author,aid,num
author,homepage,string
author,name,string
author,oid,num
cite,cited,num
cite,citing,num
conference,cid,num
conference,homepage,string
conference,name,string
domain,did,num
domain,name,string
domain_author,aid,num
domain_author,did,num
domain_conference,cid,num
domain_conference,did,num
domain_journal,did,num
domain_journal,jid,num
domain_keyword,did,num
domain_keyword,kid,num
domain_publication,did,num
domain_publication,pid,num
journal,homepage,string
journal,jid,num
journal,name,string
keyword,keyword,string
keyword,kid,num
organization,continent,string
organization,homepage,string
organization,name,string
organization,oid,num
publication,abstract,string
publication,cid,string
publication,citation_num,num
publication,jid,num
publication,pid,num
publication,reference_num,num
publication,title,string
publication,year,num
publication_keyword,pid,num
publication_keyword,kid,num
writes,aid,num
writes,pid,num
