table_name,column_name,column_type
Activity,actid,num
Activity,activity_name,string
Faculty,FacID,num
Faculty,Lname,string
Faculty,Fname,string
Faculty,Rank,string
Faculty,Sex,string
Faculty,Phone,num
Faculty,Room,string
Faculty,Building,string
Faculty_Participates_in,FacID,num
Faculty_Participates_in,actid,num
Participates_in,stuid,num
Participates_in,actid,num
Student,StuID,num
Student,LName,string
Student,Fname,string
Student,Age,num
Student,Sex,string
Student,Major,num
Student,Advisor,num
Student,city_code,string
