table_name,column_name,column_type
CBSA,CBSA,num
CBSA,CBSA_name,string
CBSA,CBSA_type,string
alias,alias,string
alias,zip_code,num
area_code,area_code,num
area_code,zip_code,num
avoid,bad_alias,string
avoid,zip_code,num
congress,CID,num
congress,District,num
congress,House,string
congress,abbreviation,string
congress,cognress_rep_id,string
congress,first_name,string
congress,land_area,num
congress,last_name,string
congress,party,string
congress,state,string
country,county,string
country,state,string
country,zip_code,num
state,abbreviation,string
state,name,string
zip_congress,district,string
zip_congress,zip_code,num
zip_data,1st_quarter_payroll,string
zip_data,CBSA,num
zip_data,american_indian_population,num
zip_data,annual_payroll,string
zip_data,asian_population,num
zip_data,avg_house_value,string
zip_data,avg_income_per_household,num
zip_data,black_population,num
zip_data,business_mailboxes,string
zip_data,businesses,num
zip_data,children,num
zip_data,city,string
zip_data,county_fips,num
zip_data,daylight_savings,string
zip_data,disabled_workers,num
zip_data,division,string
zip_data,elevation,string
zip_data,employees,num
zip_data,female_median_age,string
zip_data,female_population,num
zip_data,hawaiian_population,num
zip_data,hispanic_population,num
zip_data,households,num
zip_data,land_area,num
zip_data,latitude,num
zip_data,longitude,num
zip_data,male_median_age,string
zip_data,male_population,num
zip_data,median_age,num
zip_data,monthly_benefits_all,num
zip_data,monthly_benefits_retired_workers,num
zip_data,monthly_benefits_widowed,num
zip_data,multi_county,string
zip_data,multi_family_delivery_units,num
zip_data,organization,string
zip_data,other_population,num
zip_data,over_65,num
zip_data,parents_and_widowed,string
zip_data,persons_per_household,num
zip_data,population_2010,num
zip_data,population_2020,num
zip_data,region,string
zip_data,residential_mailboxes,num
zip_data,retired_workers,num
zip_data,single_family_delivery_units,num
zip_data,spouses,num
zip_data,state,string
zip_data,state_fips,num
zip_data,time_zone,string
zip_data,total_beneficiaries,num
zip_data,total_delivery_receptacles,num
zip_data,type,string
zip_data,water_area,num
zip_data,white_population,num
zip_data,zip_code,num
