table_name,column_name,column_type
role_user,id,num
role_user,role_id,num
role_user,user_id,num
role_user,created_at,date
role_user,updated_at,date
roles,id,num
roles,slug,string
roles,name,string
roles,description,string
roles,created_at,date
roles,updated_at,date
permissions,id,num
permissions,slug,string
permissions,name,string
permissions,description,string
permissions,created_at,date
permissions,updated_at,date
permission_role,id,num
permission_role,permission_id,num
permission_role,role_id,num
permission_role,created_at,date
permission_role,updated_at,date
permission_user,id,num
permission_user,permission_id,num
permission_user,user_id,num
permission_user,created_at,date
permission_user,updated_at,date
users,id,num
