table_name,column_name,column_type
Agencies,agency_id,num
Agencies,agency_details,string
Clients,client_id,num
Clients,agency_id,num
Clients,sic_code,string
Clients,client_details,string
Invoices,invoice_id,num
Invoices,client_id,num
Invoices,invoice_status,string
Invoices,invoice_details,string
Meetings,meeting_id,num
Meetings,client_id,num
Meetings,meeting_outcome,string
Meetings,meeting_type,string
Meetings,billable_yn,string
Meetings,start_date_time,date
Meetings,end_date_time,date
Meetings,purpose_of_meeting,string
Meetings,other_details,string
Payments,payment_id,num
Payments,invoice_id,num
Payments,payment_details,string
Staff,staff_id,num
Staff,agency_id,num
Staff,staff_details,string
Staff_in_Meetings,meeting_id,num
Staff_in_Meetings,staff_id,num
