table_name,column_name,column_type
users,id,num
users,name,string
users,email,string
users,email_verified_at,date
users,password,string
users,remember_token,string
users,created_at,date
users,updated_at,date
users,phone_number,string
users,description,string
users,profile_image,string
rooms,id,num
rooms,home_type,string
rooms,room_type,string
rooms,total_occupancy,num
rooms,total_bedrooms,num
rooms,total_bathrooms,num
rooms,summary,string
rooms,address,string
rooms,has_tv,boolean
rooms,has_kitchen,boolean
rooms,has_air_con,boolean
rooms,has_heating,boolean
rooms,has_internet,boolean
rooms,price,num
rooms,published_at,date
rooms,owner_id,num
rooms,created_at,date
rooms,updated_at,date
rooms,latitude,num
rooms,longitude,num
reservations,id,num
reservations,user_id,num
reservations,room_id,num
reservations,start_date,date
reservations,end_date,date
reservations,price,num
reservations,total,num
reservations,created_at,date
reservations,updated_at,date
media,id,num
media,model_id,num
media,model_type,string
media,file_name,string
media,mime_type,string
reviews,id,num
reviews,reservation_id,num
reviews,rating,num
reviews,comment,string
