table_name,column_name,column_type
aircraft,Aircraft_ID,num
aircraft,Aircraft,string
aircraft,Description,string
aircraft,Max_Gross_Weight,string
aircraft,Total_disk_area,string
aircraft,Max_disk_Loading,string
airport,Airport_ID,num
airport,Airport_Name,string
airport,Total_Passengers,num
airport,%_Change_2007,string
airport,International_Passengers,num
airport,Domestic_Passengers,num
airport,Transit_Passengers,num
airport,Aircraft_Movements,num
airport,Freight_Metric_Tonnes,num
airport_aircraft,ID,num
airport_aircraft,Airport_ID,num
airport_aircraft,Aircraft_ID,num
match,Round,num
match,Location,string
match,Country,string
match,Date,string
match,Fastest_Qualifying,string
match,Winning_Pilot,string
match,Winning_Aircraft,string
pilot,Pilot_Id,num
pilot,Name,string
pilot,Age,num
