table_name,column_name,column_type
accounts,id,num
accounts,company_id,num
accounts,name,string
accounts,number,string
accounts,currency_code,string
accounts,opening_balance,num
accounts,bank_name,string
accounts,bank_phone,string
accounts,bank_address,string
accounts,enabled,num
accounts,created_at,date
accounts,updated_at,date
accounts,deleted_at,date
bill_histories,id,num
bill_histories,company_id,num
bill_histories,bill_id,num
bill_histories,status,string
bill_histories,notify,num
bill_histories,description,string
bill_histories,created_at,date
bill_histories,updated_at,date
bill_histories,deleted_at,date
bill_item_taxes,id,num
bill_item_taxes,company_id,num
bill_item_taxes,bill_id,num
bill_item_taxes,bill_item_id,num
bill_item_taxes,tax_id,num
bill_item_taxes,name,string
bill_item_taxes,amount,num
bill_item_taxes,created_at,date
bill_item_taxes,updated_at,date
bill_item_taxes,deleted_at,date
bill_items,id,num
bill_items,company_id,num
bill_items,bill_id,num
bill_items,item_id,num
bill_items,name,string
bill_items,sku,string
bill_items,quantity,num
bill_items,price,num
bill_items,total,num
bill_items,tax,num
bill_items,discount_rate,num
bill_items,discount_type,string
bill_items,created_at,date
bill_items,updated_at,date
bill_items,deleted_at,date
bill_totals,id,num
bill_totals,company_id,num
bill_totals,bill_id,num
bill_totals,code,string
bill_totals,name,string
bill_totals,amount,num
bill_totals,sort_order,num
bill_totals,created_at,date
bill_totals,updated_at,date
bill_totals,deleted_at,date
bills,id,num
bills,company_id,num
bills,bill_number,string
bills,order_number,string
bills,status,string
bills,billed_at,date
bills,due_at,date
bills,amount,num
bills,currency_code,string
bills,currency_rate,num
bills,category_id,num
bills,contact_id,num
bills,contact_name,string
bills,contact_email,string
bills,contact_tax_number,string
bills,contact_phone,string
bills,contact_address,string
bills,notes,string
bills,parent_id,num
bills,created_at,date
bills,updated_at,date
bills,deleted_at,date
categories,id,num
categories,company_id,num
categories,name,string
categories,type,string
categories,color,string
categories,enabled,num
categories,created_at,date
categories,updated_at,date
categories,deleted_at,date
companies,id,num
companies,domain,string
companies,enabled,num
companies,created_at,date
companies,updated_at,date
companies,deleted_at,date
contacts,id,num
contacts,company_id,num
contacts,type,string
contacts,name,string
contacts,email,string
contacts,user_id,num
contacts,tax_number,string
contacts,phone,string
contacts,address,string
contacts,website,string
contacts,currency_code,string
contacts,enabled,num
contacts,reference,string
contacts,created_at,date
contacts,updated_at,date
contacts,deleted_at,date
currencies,id,num
currencies,company_id,num
currencies,name,string
currencies,code,string
currencies,rate,num
currencies,precision,string
currencies,symbol,string
currencies,symbol_first,num
currencies,decimal_mark,string
currencies,thousands_separator,string
currencies,enabled,num
currencies,created_at,date
currencies,updated_at,date
currencies,deleted_at,date
dashboards,id,num
dashboards,company_id,num
dashboards,name,string
dashboards,enabled,num
dashboards,created_at,date
dashboards,updated_at,date
dashboards,deleted_at,date
email_templates,id,num
email_templates,company_id,num
email_templates,alias,string
email_templates,class,string
email_templates,name,string
email_templates,subject,string
email_templates,body,string
email_templates,params,string
email_templates,created_at,date
email_templates,updated_at,date
email_templates,deleted_at,date
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,exception,string
failed_jobs,failed_at,date
firewall_ips,id,num
firewall_ips,ip,string
firewall_ips,log_id,num
firewall_ips,blocked,num
firewall_ips,created_at,date
firewall_ips,updated_at,date
firewall_ips,deleted_at,date
firewall_logs,id,num
firewall_logs,ip,string
firewall_logs,level,string
firewall_logs,middleware,string
firewall_logs,user_id,num
firewall_logs,url,string
firewall_logs,referrer,string
firewall_logs,request,string
firewall_logs,created_at,date
firewall_logs,updated_at,date
firewall_logs,deleted_at,date
invoice_histories,id,num
invoice_histories,company_id,num
invoice_histories,invoice_id,num
invoice_histories,status,string
invoice_histories,notify,num
invoice_histories,description,string
invoice_histories,created_at,date
invoice_histories,updated_at,date
invoice_histories,deleted_at,date
invoice_item_taxes,id,num
invoice_item_taxes,company_id,num
invoice_item_taxes,invoice_id,num
invoice_item_taxes,invoice_item_id,num
invoice_item_taxes,tax_id,num
invoice_item_taxes,name,string
invoice_item_taxes,amount,num
invoice_item_taxes,created_at,date
invoice_item_taxes,updated_at,date
invoice_item_taxes,deleted_at,date
invoice_items,id,num
invoice_items,company_id,num
invoice_items,invoice_id,num
invoice_items,item_id,num
invoice_items,name,string
invoice_items,sku,string
invoice_items,quantity,num
invoice_items,price,num
invoice_items,total,num
invoice_items,tax,num
invoice_items,discount_rate,num
invoice_items,discount_type,string
invoice_items,created_at,date
invoice_items,updated_at,date
invoice_items,deleted_at,date
invoice_totals,id,num
invoice_totals,company_id,num
invoice_totals,invoice_id,num
invoice_totals,code,string
invoice_totals,name,string
invoice_totals,amount,num
invoice_totals,sort_order,num
invoice_totals,created_at,date
invoice_totals,updated_at,date
invoice_totals,deleted_at,date
invoices,id,num
invoices,company_id,num
invoices,invoice_number,string
invoices,order_number,string
invoices,status,string
invoices,invoiced_at,date
invoices,due_at,date
invoices,amount,num
invoices,currency_code,string
invoices,currency_rate,num
invoices,category_id,num
invoices,contact_id,num
invoices,contact_name,string
invoices,contact_email,string
invoices,contact_tax_number,string
invoices,contact_phone,string
invoices,contact_address,string
invoices,notes,string
invoices,footer,string
invoices,parent_id,num
invoices,created_at,date
invoices,updated_at,date
invoices,deleted_at,date
items,id,num
items,company_id,num
items,name,string
items,sku,string
items,description,string
items,sale_price,num
items,purchase_price,num
items,quantity,num
items,category_id,num
items,tax_id,num
items,enabled,num
items,created_at,date
items,updated_at,date
items,deleted_at,date
