table_name,column_name,column_type
Apartment_Bookings,apt_booking_id,num
Apartment_Bookings,apt_id,num
Apartment_Bookings,guest_id,num
Apartment_Bookings,booking_status_code,string
Apartment_Bookings,booking_start_date,date
Apartment_Bookings,booking_end_date,date
Apartment_Buildings,building_id,num
Apartment_Buildings,building_short_name,string
Apartment_Buildings,building_full_name,string
Apartment_Buildings,building_description,string
Apartment_Buildings,building_address,string
Apartment_Buildings,building_manager,string
Apartment_Buildings,building_phone,string
Apartment_Facilities,apt_id,num
Apartment_Facilities,facility_code,string
Apartments,apt_id,num
Apartments,building_id,num
Apartments,apt_type_code,string
Apartments,apt_number,string
Apartments,bathroom_count,num
Apartments,bedroom_count,num
Apartments,room_count,string
Guests,guest_id,num
Guests,gender_code,string
Guests,guest_first_name,string
Guests,guest_last_name,string
Guests,date_of_birth,date
View_Unit_Status,apt_id,num
View_Unit_Status,apt_booking_id,num
View_Unit_Status,status_date,date
View_Unit_Status,available_yn,others
