table_name,column_name,column_type
Asset_Parts,asset_id,num
Asset_Parts,part_id,num
Assets,asset_id,num
Assets,maintenance_contract_id,num
Assets,supplier_company_id,num
Assets,asset_details,string
Assets,asset_make,string
Assets,asset_model,string
Assets,asset_acquired_date,date
Assets,asset_disposed_date,date
Assets,other_asset_details,string
Engineer_Skills,engineer_id,num
Engineer_Skills,skill_id,num
Engineer_Visits,engineer_visit_id,num
Engineer_Visits,contact_staff_id,num
Engineer_Visits,engineer_id,num
Engineer_Visits,fault_log_entry_id,num
Engineer_Visits,fault_status,string
Engineer_Visits,visit_start_datetime,date
Engineer_Visits,visit_end_datetime,date
Engineer_Visits,other_visit_details,string
Fault_Log,fault_log_entry_id,num
Fault_Log,asset_id,num
Fault_Log,recorded_by_staff_id,num
Fault_Log,fault_log_entry_datetime,date
Fault_Log,fault_description,string
Fault_Log,other_fault_details,string
Fault_Log_Parts,fault_log_entry_id,num
Fault_Log_Parts,part_fault_id,num
Fault_Log_Parts,fault_status,string
Maintenance_Contracts,maintenance_contract_id,num
Maintenance_Contracts,maintenance_contract_company_id,num
Maintenance_Contracts,contract_start_date,date
Maintenance_Contracts,contract_end_date,date
Maintenance_Contracts,other_contract_details,string
Maintenance_Engineers,engineer_id,num
Maintenance_Engineers,company_id,num
Maintenance_Engineers,first_name,string
Maintenance_Engineers,last_name,string
Maintenance_Engineers,other_details,string
Part_Faults,part_fault_id,num
Part_Faults,part_id,num
Part_Faults,fault_short_name,string
Part_Faults,fault_description,string
Part_Faults,other_fault_details,string
Parts,part_id,num
Parts,part_name,string
Parts,chargeable_yn,string
Parts,chargeable_amount,string
Parts,other_part_details,string
Skills,skill_id,num
Skills,skill_code,string
Skills,skill_description,string
Skills_Required_To_Fix,part_fault_id,num
Skills_Required_To_Fix,skill_id,num
Staff,staff_id,num
Staff,staff_name,string
Staff,gender,string
Staff,other_staff_details,string
Third_Party_Companies,company_id,num
Third_Party_Companies,company_type,string
Third_Party_Companies,company_name,string
Third_Party_Companies,company_address,string
Third_Party_Companies,other_company_details,string
