table_name,column_name,column_type
account_payment_gateways,id,num
account_payment_gateways,account_id,num
account_payment_gateways,payment_gateway_id,num
account_payment_gateways,config,string
account_payment_gateways,deleted_at,date
account_payment_gateways,created_at,date
account_payment_gateways,updated_at,date
accounts,id,num
accounts,first_name,string
accounts,last_name,string
accounts,email,string
accounts,timezone_id,num
accounts,date_format_id,num
accounts,datetime_format_id,num
accounts,currency_id,num
accounts,created_at,date
accounts,updated_at,date
accounts,deleted_at,date
accounts,name,string
accounts,last_ip,string
accounts,last_login_date,date
accounts,address1,string
accounts,address2,string
accounts,city,string
accounts,state,string
accounts,postal_code,string
accounts,country_id,num
accounts,email_footer,string
accounts,is_active,num
accounts,is_banned,num
accounts,is_beta,num
accounts,stripe_access_token,string
accounts,stripe_refresh_token,string
accounts,stripe_secret_key,string
accounts,stripe_publishable_key,string
accounts,stripe_data_raw,string
accounts,payment_gateway_id,num
affiliates,id,num
affiliates,name,string
affiliates,visits,num
affiliates,tickets_sold,num
affiliates,sales_volume,num
affiliates,last_visit,date
affiliates,account_id,num
affiliates,event_id,num
affiliates,created_at,date
affiliates,updated_at,date
attendees,id,num
attendees,order_id,num
attendees,event_id,num
attendees,ticket_id,num
attendees,first_name,string
attendees,last_name,string
attendees,email,string
attendees,private_reference_number,string
attendees,created_at,date
attendees,updated_at,date
attendees,deleted_at,date
attendees,is_cancelled,num
attendees,has_arrived,num
attendees,arrival_time,date
attendees,account_id,num
attendees,reference_index,num
attendees,is_refunded,num
countries,id,num
countries,capital,string
countries,citizenship,string
countries,country_code,string
countries,currency,string
countries,currency_code,string
countries,currency_sub_unit,string
countries,full_name,string
countries,iso_3166_2,string
countries,iso_3166_3,string
countries,name,string
countries,region_code,string
countries,sub_region_code,string
countries,eea,num
currencies,id,num
currencies,title,string
currencies,symbol_left,string
currencies,symbol_right,string
currencies,code,string
currencies,decimal_place,num
currencies,value,num
currencies,decimal_point,string
currencies,thousand_point,string
currencies,status,num
currencies,created_at,date
currencies,updated_at,date
date_formats,id,num
date_formats,format,string
date_formats,picker_format,string
date_formats,label,string
datetime_formats,id,num
datetime_formats,format,string
datetime_formats,picker_format,string
datetime_formats,label,string
event_access_codes,id,num
event_access_codes,event_id,num
event_access_codes,code,string
event_access_codes,usage_count,num
event_access_codes,created_at,date
event_access_codes,updated_at,date
event_access_codes,deleted_at,date
event_images,id,num
event_images,image_path,string
event_images,created_at,date
event_images,updated_at,date
event_images,event_id,num
event_images,account_id,num
event_images,user_id,num
event_question,id,num
event_question,event_id,num
event_question,question_id,num
event_stats,id,num
event_stats,date,date
event_stats,views,num
event_stats,unique_views,num
event_stats,tickets_sold,num
event_stats,sales_volume,num
event_stats,organiser_fees_volume,num
event_stats,event_id,num
events,id,num
events,title,string
events,location,string
events,bg_type,string
events,bg_color,string
events,bg_image_path,string
events,description,string
events,start_date,date
events,end_date,date
events,on_sale_date,date
events,account_id,num
events,user_id,num
events,currency_id,num
events,sales_volume,num
events,organiser_fees_volume,num
events,organiser_fee_fixed,num
events,organiser_fee_percentage,num
events,organiser_id,num
events,venue_name,string
events,venue_name_full,string
events,location_address,string
events,location_address_line_1,string
events,location_address_line_2,string
events,location_country,string
events,location_country_code,string
events,location_state,string
events,location_post_code,string
events,location_street_number,string
events,location_lat,string
events,location_long,string
events,location_google_place_id,string
events,pre_order_display_message,string
events,post_order_display_message,string
events,social_share_text,string
events,social_show_facebook,num
events,social_show_linkedin,num
events,social_show_twitter,num
events,social_show_email,num
events,social_show_googleplus,num
events,location_is_manual,num
events,is_live,num
events,created_at,date
events,updated_at,date
events,deleted_at,date
events,barcode_type,string
events,ticket_border_color,string
events,ticket_bg_color,string
events,ticket_text_color,string
events,ticket_sub_text_color,string
events,google_tag_manager_code,string
events,social_show_whatsapp,num
events,questions_collection_type,string
events,checkout_timeout_after,num
events,is_1d_barcode_enabled,num
events,enable_offline_payments,num
events,offline_payment_instructions,string
events,event_image_position,string
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,failed_at,date
messages,id,num
messages,message,string
messages,subject,string
messages,recipients,string
messages,account_id,num
messages,user_id,num
messages,event_id,num
messages,is_sent,num
messages,sent_at,date
messages,created_at,date
messages,updated_at,date
order_items,id,num
order_items,title,string
order_items,quantity,num
order_items,unit_price,num
order_items,unit_booking_fee,num
order_items,order_id,num
order_items,deleted_at,date
order_statuses,id,num
order_statuses,name,string
orders,id,num
orders,account_id,num
orders,order_status_id,num
orders,created_at,date
orders,updated_at,date
orders,deleted_at,date
orders,first_name,string
orders,last_name,string
orders,email,string
orders,business_name,string
orders,business_tax_number,string
orders,business_address_line_one,string
orders,business_address_line_two,string
orders,business_address_state_province,string
orders,business_address_city,string
orders,ticket_pdf_path,string
orders,order_reference,string
orders,transaction_id,string
orders,discount,num
orders,booking_fee,num
orders,organiser_booking_fee,num
orders,order_date,date
orders,notes,string
orders,is_deleted,num
orders,is_cancelled,num
orders,is_partially_refunded,num
orders,is_refunded,num
orders,amount,num
orders,amount_refunded,num
orders,event_id,num
orders,payment_gateway_id,num
orders,is_payment_received,num
orders,is_business,num
orders,taxamt,num
orders,business_address_code,string
orders,payment_intent,string
organisers,id,num
organisers,created_at,date
organisers,updated_at,date
organisers,deleted_at,date
organisers,account_id,num
organisers,name,string
organisers,about,string
organisers,email,string
organisers,phone,string
organisers,confirmation_key,string
organisers,facebook,string
organisers,twitter,string
organisers,logo_path,string
organisers,is_email_confirmed,num
organisers,show_twitter_widget,num
organisers,show_facebook_widget,num
organisers,page_header_bg_color,string
organisers,page_bg_color,string
organisers,page_text_color,string
organisers,enable_organiser_page,num
organisers,google_analytics_code,string
organisers,google_tag_manager_code,string
organisers,tax_name,string
organisers,tax_value,num
organisers,tax_id,string
organisers,charge_tax,num
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
payment_gateways,id,num
payment_gateways,provider_name,string
payment_gateways,provider_url,string
payment_gateways,is_on_site,num
payment_gateways,can_refund,num
payment_gateways,name,string
payment_gateways,default,num
payment_gateways,admin_blade_template,string
payment_gateways,checkout_blade_template,string
question_answers,id,num
question_answers,attendee_id,num
question_answers,event_id,num
question_answers,question_id,num
question_answers,account_id,num
question_answers,answer_text,string
question_answers,created_at,date
question_answers,updated_at,date
question_options,id,num
question_options,name,string
question_options,question_id,num
question_ticket,id,num
question_ticket,question_id,num
question_ticket,ticket_id,num
question_types,id,num
question_types,alias,string
question_types,name,string
question_types,has_options,num
question_types,allow_multiple,num
questions,id,num
questions,title,string
questions,question_type_id,num
questions,account_id,num
questions,is_required,num
questions,created_at,date
questions,updated_at,date
questions,deleted_at,date
questions,sort_order,num
questions,is_enabled,num
reserved_tickets,id,num
reserved_tickets,ticket_id,num
reserved_tickets,event_id,num
reserved_tickets,quantity_reserved,num
reserved_tickets,expires,date
reserved_tickets,session_id,string
reserved_tickets,created_at,date
reserved_tickets,updated_at,date
ticket_event_access_code,id,num
ticket_event_access_code,ticket_id,num
ticket_event_access_code,event_access_code_id,num
ticket_event_access_code,created_at,date
ticket_event_access_code,updated_at,date
ticket_order,id,num
ticket_order,order_id,num
ticket_order,ticket_id,num
ticket_statuses,id,num
ticket_statuses,name,string
tickets,id,num
tickets,created_at,date
tickets,updated_at,date
tickets,deleted_at,date
tickets,edited_by_user_id,num
tickets,account_id,num
tickets,order_id,num
tickets,event_id,num
tickets,title,string
tickets,description,string
tickets,price,num
tickets,max_per_person,num
tickets,min_per_person,num
tickets,quantity_available,num
tickets,quantity_sold,num
tickets,start_sale_date,date
tickets,end_sale_date,date
tickets,sales_volume,num
tickets,organiser_fees_volume,num
tickets,is_paused,num
tickets,public_id,num
tickets,user_id,num
tickets,sort_order,num
tickets,is_hidden,num
timezones,id,num
timezones,name,string
timezones,location,string
users,id,num
users,account_id,num
users,created_at,date
users,updated_at,date
users,deleted_at,date
users,first_name,string
users,last_name,string
users,phone,string
users,email,string
users,password,string
users,confirmation_code,string
users,is_registered,num
users,is_confirmed,num
users,is_parent,num
users,remember_token,string
users,api_token,string
