table_name,column_name,column_type
authority_permission,id,num
authority_permission,codename,string
authority_permission,object_id,num
authority_permission,approved,boolean
authority_permission,date_requested,date
authority_permission,date_approved,date
authority_permission,content_type_id,num
authority_permission,creator_id,num
authority_permission,group_id,num
authority_permission,user_id,num
auth_user,id,num
auth_user,password,string
auth_user,last_login,date
auth_user,is_superuser,num
auth_user,username,string
auth_user,first_name,string
auth_user,last_name,string
auth_user,email,string
auth_user,is_staff,num
auth_user,is_active,num
auth_user,date_joined,date
auth_group,id,num
auth_group,name,string
django_content_type,id,num
django_content_type,app_label,string
django_content_type,model,string
