table_name,column_name,column_type
Author,Affiliation,string
Author,Id,num
Author,Name,string
Conference,FullName,string
Conference,HomePage,string
Conference,Id,num
Conference,ShortName,string
Journal,FullName,string
Journal,HomePage,string
Journal,Id,num
Journal,ShortName,string
Paper,ConferenceId,num
Paper,Id,num
Paper,JournalId,num
Paper,Keyword,string
Paper,Title,string
Paper,Year,num
PaperAuthor,Affiliation,string
PaperAuthor,AuthorId,num
PaperAuthor,Name,string
PaperAuthor,PaperId,num
