table_name,column_name,column_type
axes_accessattempt,id,num
axes_accessattempt,user_agent,string
axes_accessattempt,ip_address,string
axes_accessattempt,username,string
axes_accessattempt,http_accept,string
axes_accessattempt,path_info,string
axes_accessattempt,attempt_time,date
axes_accessattempt,get_data,string
axes_accessattempt,post_data,string
axes_accessattempt,failures_since_start,num
axes_accesslog,id,num
axes_accesslog,user_agent,string
axes_accesslog,ip_address,string
axes_accesslog,username,string
axes_accesslog,http_accept,string
axes_accesslog,path_info,string
axes_accesslog,attempt_time,date
axes_accesslog,logout_time,date
