table_name,column_name,column_types
weekly_sales,week_date,string
weekly_sales,region,string
weekly_sales,platform,string
weekly_sales,segment,string
weekly_sales,customer_type,string
weekly_sales,transactions,num
weekly_sales,sales,num
shopping_cart_users,user_id,num
shopping_cart_users,cookie_id,string
shopping_cart_users,start_date,string
bitcoin_members,member_id,string
bitcoin_members,first_name,string
bitcoin_members,region,string
interest_metrics,_month,num
interest_metrics,_year,num
interest_metrics,month_year,string
interest_metrics,interest_id,num
interest_metrics,composition,num
interest_metrics,index_value,num
interest_metrics,ranking,num
interest_metrics,percentile_ranking,num
customer_regions,region_id,num
customer_regions,region_name,string
customer_transactions,customer_id,num
customer_transactions,txn_date,string
customer_transactions,txn_type,string
customer_transactions,txn_amount,num
bitcoin_transactions,txn_id,num
bitcoin_transactions,member_id,string
bitcoin_transactions,ticker,string
bitcoin_transactions,txn_date,string
bitcoin_transactions,txn_type,string
bitcoin_transactions,quantity,num
bitcoin_transactions,percentage_fee,num
bitcoin_transactions,txn_time,string
customer_nodes,customer_id,num
customer_nodes,region_id,num
customer_nodes,node_id,num
customer_nodes,start_date,string
customer_nodes,end_date,string
cleaned_weekly_sales,week_date_formatted,string
cleaned_weekly_sales,week_date,string
cleaned_weekly_sales,region,string
cleaned_weekly_sales,platform,string
cleaned_weekly_sales,segment,string
cleaned_weekly_sales,customer_type,string
cleaned_weekly_sales,transactions,num
cleaned_weekly_sales,sales,num
cleaned_weekly_sales,week_number,num
cleaned_weekly_sales,month_number,num
cleaned_weekly_sales,calendar_year,num
cleaned_weekly_sales,age_band,string
cleaned_weekly_sales,demographic,string
cleaned_weekly_sales,avg_transaction,num
veg_txn_df,index,num
veg_txn_df,txn_date,string
veg_txn_df,txn_time,string
veg_txn_df,item_code,num
veg_txn_df,day_of_week,string
shopping_cart_events,visit_id,string
shopping_cart_events,cookie_id,string
shopping_cart_events,page_id,num
shopping_cart_events,event_type,num
shopping_cart_events,sequence_number,num
shopping_cart_events,event_time,string
shopping_cart_page_hierarchy,page_id,num
shopping_cart_page_hierarchy,page_name,string
shopping_cart_page_hierarchy,product_category,string
shopping_cart_page_hierarchy,product_id,num
bitcoin_prices,ticker,string
bitcoin_prices,market_date,string
bitcoin_prices,price,num
bitcoin_prices,open,num
bitcoin_prices,high,num
bitcoin_prices,low,num
bitcoin_prices,volume,string
bitcoin_prices,change,string
interest_map,id,num
interest_map,interest_name,string
interest_map,interest_summary,string
interest_map,created_at,string
interest_map,last_modified,string
veg_loss_rate_df,index,num
veg_loss_rate_df,item_code,num
veg_loss_rate_df,item_name,string
shopping_cart_campaign_identifier,campaign_id,num
shopping_cart_campaign_identifier,products,string
shopping_cart_campaign_identifier,campaign_name,string
shopping_cart_campaign_identifier,start_date,string
shopping_cart_campaign_identifier,end_date,string
veg_cat,index,num
veg_cat,item_code,num
veg_cat,item_name,string
veg_cat,category_code,num
veg_cat,category_name,string
veg_whsle_df,index,num
veg_whsle_df,whsle_date,string
veg_whsle_df,item_code,num
shopping_cart_event_identifier,event_type,num
shopping_cart_event_identifier,event_name,string
