table_name,column_name,column_type
all_star,player_id,string
all_star,year,num
all_star,game_num,num
all_star,game_id,string
all_star,team_id,string
all_star,league_id,string
all_star,gp,num
all_star,starting_pos,num
appearances,year,num
appearances,team_id,string
appearances,league_id,string
appearances,player_id,string
appearances,g_all,num
appearances,gs,num
appearances,g_batting,num
appearances,g_defense,num
appearances,g_p,num
appearances,g_c,num
appearances,g_1b,num
appearances,g_2b,num
appearances,g_3b,num
appearances,g_ss,num
appearances,g_lf,num
appearances,g_cf,num
appearances,g_rf,num
appearances,g_of,num
appearances,g_dh,num
appearances,g_ph,num
appearances,g_pr,num
batting,player_id,string
batting,year,num
batting,stint,num
batting,team_id,string
batting,league_id,string
batting,g,num
batting,ab,num
batting,r,num
batting,h,num
batting,double,num
batting,triple,num
batting,hr,num
batting,rbi,num
batting,sb,num
batting,cs,num
batting,bb,num
batting,so,num
batting,ibb,num
batting,hbp,num
batting,sh,num
batting,sf,num
batting,g_idp,num
batting_postseason,year,num
batting_postseason,round,string
batting_postseason,player_id,string
batting_postseason,team_id,string
batting_postseason,league_id,string
batting_postseason,g,num
batting_postseason,ab,num
batting_postseason,r,num
batting_postseason,h,num
batting_postseason,double,num
batting_postseason,triple,num
batting_postseason,hr,num
batting_postseason,rbi,num
batting_postseason,sb,num
batting_postseason,cs,num
batting_postseason,bb,num
batting_postseason,so,num
batting_postseason,ibb,num
batting_postseason,hbp,num
batting_postseason,sh,num
batting_postseason,sf,num
batting_postseason,g_idp,num
college,college_id,string
college,name_full,string
college,city,string
college,state,string
college,country,string
fielding,player_id,string
fielding,year,num
fielding,stint,num
fielding,team_id,string
fielding,league_id,string
fielding,pos,string
fielding,g,num
fielding,gs,num
fielding,inn_outs,num
fielding,po,num
fielding,a,num
fielding,e,num
fielding,dp,num
fielding,pb,num
fielding,wp,num
fielding,sb,num
fielding,cs,num
fielding,zr,num
fielding_outfield,player_id,string
fielding_outfield,year,num
fielding_outfield,stint,num
fielding_outfield,glf,num
fielding_outfield,gcf,num
fielding_outfield,grf,num
fielding_postseason,player_id,string
fielding_postseason,year,num
fielding_postseason,team_id,string
fielding_postseason,league_id,string
fielding_postseason,round,string
fielding_postseason,pos,string
fielding_postseason,g,num
fielding_postseason,gs,num
fielding_postseason,inn_outs,num
fielding_postseason,po,num
fielding_postseason,a,num
fielding_postseason,e,num
fielding_postseason,dp,num
fielding_postseason,tp,num
fielding_postseason,pb,num
fielding_postseason,sb,num
fielding_postseason,cs,num
hall_of_fame,player_id,string
hall_of_fame,yearid,num
hall_of_fame,votedby,string
hall_of_fame,ballots,num
hall_of_fame,needed,num
hall_of_fame,votes,num
hall_of_fame,inducted,string
hall_of_fame,category,string
hall_of_fame,needed_note,string
home_game,year,num
home_game,league_id,string
home_game,team_id,string
home_game,park_id,string
home_game,span_first,string
home_game,span_last,string
home_game,games,num
home_game,openings,num
home_game,attendance,num
manager,player_id,string
manager,year,num
manager,team_id,string
manager,league_id,string
manager,inseason,num
manager,g,num
manager,w,num
manager,l,num
manager,rank,num
manager,plyr_mgr,string
manager_award,player_id,string
manager_award,award_id,string
manager_award,year,num
manager_award,league_id,string
manager_award,tie,string
manager_award,notes,num
manager_award_vote,award_id,string
manager_award_vote,year,num
manager_award_vote,league_id,string
manager_award_vote,player_id,string
manager_award_vote,points_won,num
manager_award_vote,points_max,num
manager_award_vote,votes_first,num
manager_half,player_id,string
manager_half,year,num
manager_half,team_id,string
manager_half,league_id,string
manager_half,inseason,num
manager_half,half,num
manager_half,g,num
manager_half,w,num
manager_half,l,num
manager_half,rank,num
park,park_id,string
park,park_name,string
park,park_alias,string
park,city,string
park,state,string
park,country,string
pitching,player_id,string
pitching,year,num
pitching,stint,num
pitching,team_id,string
pitching,league_id,string
pitching,w,num
pitching,l,num
pitching,g,num
pitching,gs,num
pitching,cg,num
pitching,sho,num
pitching,sv,num
pitching,ipouts,num
pitching,h,num
pitching,er,num
pitching,hr,num
pitching,bb,num
pitching,so,num
pitching,baopp,num
pitching,era,num
pitching,ibb,num
pitching,wp,num
pitching,hbp,num
pitching,bk,num
pitching,bfp,num
pitching,gf,num
pitching,r,num
pitching,sh,num
pitching,sf,num
pitching,g_idp,num
pitching_postseason,player_id,string
pitching_postseason,year,num
pitching_postseason,round,string
pitching_postseason,team_id,string
pitching_postseason,league_id,string
pitching_postseason,w,num
pitching_postseason,l,num
