table_name,column_name,column_type
customers,City,string
customers,CustomerID,num
customers,Email,string
customers,First,string
customers,FirstPurchaseDate,date
customers,Gender,boolean
customers,Last,string
customers,PhoneNumber,string
customers,State,string
customers,StreetAddress,string
customers,SubscribedToEmailList,string
customers,ZipCode,num
geolocation,Latitude,num
geolocation,LocationID,num
geolocation,Longitude,num
location,City,string
location,LocationID,num
location,LocationName,string
location,State,string
location,StreetAddress,string
location,ZipCode,num
rootbeer,BrandID,num
rootbeer,ContainerType,string
rootbeer,LocationID,num
rootbeer,PurchaseDate,date
rootbeer,RootBeerID,num
rootbeerbrand,Alcoholic,string
rootbeerbrand,ArtificialSweetener,boolean
rootbeerbrand,AvailableInBottles,string
rootbeerbrand,AvailableInCans,string
rootbeerbrand,AvailableInKegs,string
rootbeerbrand,BrandID,num
rootbeerbrand,BrandName,string
rootbeerbrand,BreweryName,string
rootbeerbrand,Caffeinated,string
rootbeerbrand,CaneSugar,boolean
rootbeerbrand,City,string
rootbeerbrand,CornSyrup,boolean
rootbeerbrand,Country,string
rootbeerbrand,CurrentRetailPrice,num
rootbeerbrand,Description,string
rootbeerbrand,FacebookPage,string
rootbeerbrand,FirstBrewedYear,num
rootbeerbrand,Honey,boolean
rootbeerbrand,State,string
rootbeerbrand,Twitter,string
rootbeerbrand,Website,string
rootbeerbrand,WholesaleCost,num
rootbeerreview,BrandID,num
rootbeerreview,CustomerID,num
rootbeerreview,Review,string
rootbeerreview,ReviewDate,date
rootbeerreview,StarRating,num
transaction,CreditCardNumber,num
transaction,CreditCardType,string
transaction,CustomerID,num
transaction,LocationID,num
transaction,PurchasePrice,num
transaction,RootBeerID,num
transaction,TransactionDate,date
transaction,TransactionID,num
