table_name,column_name,column_type
Addresses,address_id,num
Addresses,line_1,string
Addresses,line_2,string
Addresses,line_3,string
Addresses,city,string
Addresses,zip_postcode,string
Addresses,state_province_county,string
Addresses,country,string
Addresses,other_address_details,string
Assessment_Notes,notes_id,num
Assessment_Notes,student_id,num
Assessment_Notes,teacher_id,num
Assessment_Notes,date_of_notes,date
Assessment_Notes,text_of_notes,string
Assessment_Notes,other_details,string
Behavior_Incident,incident_id,num
Behavior_Incident,incident_type_code,string
Behavior_Incident,student_id,num
Behavior_Incident,date_incident_start,date
Behavior_Incident,date_incident_end,date
Behavior_Incident,incident_summary,string
Behavior_Incident,recommendations,string
Behavior_Incident,other_details,string
Detention,detention_id,num
Detention,detention_type_code,string
Detention,teacher_id,num
Detention,datetime_detention_start,date
Detention,datetime_detention_end,date
Detention,detention_summary,string
Detention,other_details,string
Ref_Address_Types,address_type_code,string
Ref_Address_Types,address_type_description,string
Ref_Detention_Type,detention_type_code,string
Ref_Detention_Type,detention_type_description,string
Ref_Incident_Type,incident_type_code,string
Ref_Incident_Type,incident_type_description,string
Student_Addresses,student_id,num
Student_Addresses,address_id,num
Student_Addresses,date_address_from,date
Student_Addresses,date_address_to,date
Student_Addresses,monthly_rental,others
Student_Addresses,other_details,string
Students,student_id,num
Students,address_id,num
Students,first_name,string
Students,middle_name,string
Students,last_name,string
Students,cell_mobile_number,string
Students,email_address,string
Students,date_first_rental,date
Students,date_left_university,date
Students,other_student_details,string
Students_in_Detention,student_id,num
Students_in_Detention,detention_id,num
Students_in_Detention,incident_id,num
Teachers,teacher_id,num
Teachers,address_id,num
Teachers,first_name,string
Teachers,middle_name,string
Teachers,last_name,string
Teachers,gender,string
Teachers,cell_mobile_number,string
Teachers,email_address,string
Teachers,other_details,string
