table_name,column_name,column_type
station,id,num
station,name,string
station,lat,num
station,long,num
station,dock_count,num
station,city,string
station,installation_date,string
status,station_id,num
status,bikes_available,num
status,docks_available,num
status,time,string
trip,id,num
trip,duration,num
trip,start_date,string
trip,start_station_name,string
trip,start_station_id,num
trip,end_date,string
trip,end_station_name,string
trip,end_station_id,num
trip,bike_id,num
trip,subscription_type,string
trip,zip_code,num
weather,date,string
weather,max_temperature_f,num
weather,mean_temperature_f,num
weather,min_temperature_f,num
weather,max_dew_point_f,num
weather,mean_dew_point_f,num
weather,min_dew_point_f,num
weather,max_humidity,num
weather,mean_humidity,num
weather,min_humidity,num
weather,max_sea_level_pressure_inches,num
weather,mean_sea_level_pressure_inches,num
weather,min_sea_level_pressure_inches,num
weather,max_visibility_miles,num
weather,mean_visibility_miles,num
weather,min_visibility_miles,num
weather,max_wind_Speed_mph,num
weather,mean_wind_speed_mph,num
weather,max_gust_speed_mph,num
weather,precipitation_inches,num
weather,cloud_cover,num
weather,events,string
weather,wind_dir_degrees,num
weather,zip_code,num
