table_name,column_name,column_type
station,city,string
station,dock_count,num
station,id,num
station,installation_date,date
station,lat,num
station,long,num
station,name,string
status,bikes_available,num
status,docks_available,num
status,station_id,num
status,time,date
trip,bike_id,num
trip,duration,num
trip,end_date,date
trip,end_station_id,num
trip,end_station_name,string
trip,id,num
trip,start_date,date
trip,start_station_id,num
trip,start_station_name,string
trip,subscription_type,string
trip,zip_code,num
weather,cloud_cover,num
weather,date,date
weather,events,string
weather,max_dew_point_f,string
weather,max_gust_speed_mph,string
weather,max_humidity,num
weather,max_sea_level_pressure_inches,string
weather,max_temperature_f,num
weather,max_visibility_miles,string
weather,max_wind_Speed_mph,string
weather,mean_dew_point_f,string
weather,mean_humidity,num
weather,mean_sea_level_pressure_inches,num
weather,mean_temperature_f,num
weather,mean_visibility_miles,num
weather,mean_wind_speed_mph,string
weather,min_dew_point_f,string
weather,min_humidity,num
weather,min_sea_level_pressure_inches,string
weather,min_temperature_f,num
weather,min_visibility_miles,string
weather,precipitation_inches,string
weather,wind_dir_degrees,string
weather,zip_code,string
