table_name,column_name,column_type
authors,address,string
authors,au_fname,string
authors,au_id,num
authors,au_lname,string
authors,city,string
authors,contract,string
authors,phone,string
authors,state,string
authors,zip,string
discounts,discount,num
discounts,discounttype,string
discounts,highqty,num
discounts,lowqty,num
discounts,stor_id,string
employee,emp_id,string
employee,fname,string
employee,hire_date,date
employee,job_id,num
employee,job_lvl,num
employee,lname,string
employee,minit,string
employee,pub_id,string
jobs,job_desc,string
jobs,job_id,num
jobs,max_lvl,num
jobs,min_lvl,num
pub_info,logo,binary
pub_info,pr_info,string
pub_info,pub_id,string
publishers,city,string
publishers,country,string
publishers,pub_id,string
publishers,pub_name,string
publishers,state,string
roysched,hirange,string
roysched,lorange,string
roysched,royalty,num
roysched,title_id,string
sales,ord_date,date
sales,ord_num,string
sales,payterms,string
sales,qty,num
sales,stor_id,string
sales,title_id,string
stores,city,string
stores,state,string
stores,stor_address,string
stores,stor_id,num
stores,stor_name,string
stores,zip,string
titleauthor,au_id,string
titleauthor,au_ord,num
titleauthor,royaltyper,string
titleauthor,title_id,num
titles,advance,num
titles,notes,string
titles,price,num
titles,pub_id,string
titles,pubdate,date
titles,royalty,num
titles,title,string
titles,title_id,num
titles,type,string
titles,ytd_sales,num
