table_name,column_name,column_type
address,address_id,num
address,city,string
address,country_id,num
address,street_name,string
address,street_number,string
address_status,address_status,string
address_status,status_id,num
author,author_id,num
author,author_name,string
book,book_id,num
book,isbn13,string
book,language_id,num
book,num_pages,num
book,publication_date,date
book,publisher_id,num
book,title,string
book_author,author_id,num
book_author,book_id,num
book_language,language_code,num
book_language,language_id,num
book_language,language_name,string
country,country_id,num
country,country_name,string
cust_order,customer_id,num
cust_order,dest_address_id,num
cust_order,order_date,date
cust_order,order_id,num
cust_order,shipping_method_id,num
customer,customer_id,num
customer,email,string
customer,first_name,string
customer,last_name,string
customer_address,address_id,num
customer_address,customer_id,num
customer_address,status_id,num
order_history,history_id,num
order_history,order_id,num
order_history,status_date,date
order_history,status_id,num
order_line,book_id,num
order_line,line_id,num
order_line,order_id,num
order_line,price,num
order_status,status_id,num
order_status,status_value,string
publisher,publisher_id,num
publisher,publisher_name,string
shipping_method,cost,string
shipping_method,method_id,num
shipping_method,method_name,string
