table_name,column_name,column_type
activities,id,num
activities,extra,string
activities,book_id,num
activities,user_id,num
activities,entity_id,num
activities,entity_type,string
activities,created_at,date
activities,updated_at,date
api_tokens,id,num
api_tokens,name,string
api_tokens,token_id,string
api_tokens,secret,string
api_tokens,user_id,num
api_tokens,expires_at,date
api_tokens,created_at,date
api_tokens,updated_at,date
attachments,id,num
attachments,name,string
attachments,path,string
attachments,extension,string
attachments,uploaded_to,num
attachments,external,num
attachments,order,num
attachments,created_by,num
attachments,updated_by,num
attachments,created_at,date
attachments,updated_at,date
books,id,num
books,name,string
books,slug,string
books,description,string
books,created_at,date
books,updated_at,date
books,created_by,num
books,updated_by,num
books,restricted,num
books,image_id,num
bookshelves,id,num
bookshelves,name,string
bookshelves,slug,string
bookshelves,description,string
bookshelves,created_by,num
bookshelves,updated_by,num
bookshelves,restricted,num
bookshelves,image_id,num
bookshelves,created_at,date
bookshelves,updated_at,date
bookshelves_books,bookshelf_id,num
bookshelves_books,book_id,num
bookshelves_books,order,num
cache,value,string
cache,expiration,num
chapters,id,num
chapters,book_id,num
chapters,slug,string
chapters,name,string
chapters,description,string
chapters,priority,num
chapters,created_at,date
chapters,updated_at,date
chapters,created_by,num
chapters,updated_by,num
chapters,restricted,num
comments,id,num
comments,entity_id,num
comments,entity_type,string
comments,text,string
comments,html,string
comments,parent_id,num
comments,local_id,num
comments,created_by,num
comments,updated_by,num
comments,created_at,date
comments,updated_at,date
email_confirmations,id,num
email_confirmations,user_id,num
email_confirmations,token,string
email_confirmations,created_at,date
email_confirmations,updated_at,date
entity_permissions,id,num
entity_permissions,restrictable_id,num
entity_permissions,restrictable_type,string
entity_permissions,role_id,num
entity_permissions,action,string
images,id,num
images,name,string
images,url,string
images,created_at,date
images,updated_at,date
images,created_by,num
images,updated_by,num
images,path,string
images,type,string
images,uploaded_to,num
joint_permissions,id,num
joint_permissions,role_id,num
joint_permissions,entity_type,string
joint_permissions,entity_id,num
joint_permissions,action,string
joint_permissions,has_permission,num
joint_permissions,has_permission_own,num
joint_permissions,created_by,num
migrations,id,num
migrations,migration,string
migrations,batch,num
page_revisions,id,num
page_revisions,page_id,num
page_revisions,name,string
page_revisions,html,string
page_revisions,text,string
page_revisions,created_by,num
page_revisions,created_at,date
page_revisions,updated_at,date
page_revisions,slug,string
page_revisions,book_slug,string
page_revisions,type,string
page_revisions,markdown,string
page_revisions,summary,string
page_revisions,revision_number,num
pages,id,num
pages,book_id,num
pages,chapter_id,num
pages,name,string
pages,slug,string
pages,html,string
pages,text,string
pages,priority,num
pages,created_at,date
pages,updated_at,date
pages,created_by,num
pages,updated_by,num
pages,restricted,num
pages,draft,num
pages,markdown,string
pages,revision_count,num
pages,template,num
password_resets,email,string
password_resets,token,string
password_resets,created_at,date
permission_role,permission_id,num
permission_role,role_id,num
role_permissions,id,num
role_permissions,name,string
role_permissions,display_name,string
role_permissions,description,string
role_permissions,created_at,date
role_permissions,updated_at,date
role_user,user_id,num
role_user,role_id,num
roles,id,num
roles,name,string
roles,display_name,string
roles,description,string
roles,created_at,date
roles,updated_at,date
roles,system_name,string
roles,external_auth_id,string
search_terms,id,num
search_terms,term,string
search_terms,entity_type,string
search_terms,entity_id,num
search_terms,score,num
sessions,id,string
sessions,user_id,num
sessions,ip_address,string
sessions,user_agent,string
sessions,payload,string
sessions,last_activity,num
settings,setting_key,string
settings,value,string
settings,created_at,date
settings,updated_at,date
social_accounts,id,num
social_accounts,user_id,num
social_accounts,driver,string
social_accounts,driver_id,string
social_accounts,avatar,string
social_accounts,created_at,date
social_accounts,updated_at,date
tags,id,num
tags,entity_id,num
tags,entity_type,string
tags,name,string
tags,value,string
tags,order,num
tags,created_at,date
tags,updated_at,date
user_invites,id,num
user_invites,user_id,num
user_invites,token,string
user_invites,created_at,date
user_invites,updated_at,date
users,id,num
users,name,string
users,email,string
users,password,string
users,remember_token,string
users,created_at,date
users,updated_at,date
users,email_confirmed,num
users,image_id,num
users,external_auth_id,string
users,system_name,string
views,id,num
views,user_id,num
views,viewable_id,num
views,viewable_type,string
views,views,num
views,created_at,date
views,updated_at,date
