table_name,column_name,column_type
abilities,id,num
abilities,name,string
abilities,title,string
abilities,entity_id,num
abilities,entity_type,string
abilities,only_owned,num
abilities,options,string
abilities,scope,num
abilities,created_at,date
abilities,updated_at,date
assigned_roles,id,num
assigned_roles,role_id,num
assigned_roles,entity_id,num
assigned_roles,entity_type,string
assigned_roles,restricted_to_id,num
assigned_roles,restricted_to_type,string
assigned_roles,scope,num
permissions,id,num
permissions,ability_id,num
permissions,entity_id,num
permissions,entity_type,string
permissions,forbidden,num
permissions,scope,num
roles,id,num
roles,name,string
roles,title,string
roles,level,num
roles,scope,num
roles,created_at,date
roles,updated_at,date
