table_name,column_name,column_type
bp_notifications,id,num
bp_notifications,user_id,num
bp_notifications,item_id,num
bp_notifications,secondary_item_id,num
bp_notifications,component_name,string
bp_notifications,component_action,string
bp_notifications,date_notified,date
bp_notifications,is_new,boolean
bp_notifications_meta,id,num
bp_notifications_meta,notification_id,num
bp_notifications_meta,meta_key,string
bp_notifications_meta,meta_value,string
bp_activity,id,num
bp_activity,user_id,num
bp_activity,component,string
bp_activity,type,string
bp_activity,action,string
bp_activity,content,string
bp_activity,primary_link,string
bp_activity,item_id,num
bp_activity,secondary_item_id,num
bp_activity,date_recorded,date
bp_activity,hide_sitewide,boolean
bp_activity,mptt_left,num
bp_activity,mptt_right,num
bp_activity,is_spam,num
bp_activity_meta,id,num
bp_activity_meta,activity_id,num
bp_activity_meta,meta_key,string
bp_activity_meta,meta_value,string
bp_friends,id,num
bp_friends,initiator_user_id,num
bp_friends,friend_user_id,num
bp_friends,is_confirmed,boolean
bp_friends,is_limited,boolean
bp_friends,date_created,date
bp_groups,id,num
bp_groups,creator_id,num
bp_groups,name,string
bp_groups,slug,string
bp_groups,description,string
bp_groups,status,string
bp_groups,parent_id,num
bp_groups,enable_forum,num
bp_groups,date_created,date
bp_groups_members,id,num
bp_groups_members,group_id,num
bp_groups_members,user_id,num
bp_groups_members,inviter_id,num
bp_groups_members,is_admin,num
bp_groups_members,is_mod,num
bp_groups_members,user_title,string
bp_groups_members,date_modified,date
bp_groups_members,comments,string
bp_groups_members,is_confirmed,num
bp_groups_members,is_banned,num
bp_groups_members,invite_sent,num
bp_groups_groupmeta,id,num
bp_groups_groupmeta,group_id,num
bp_groups_groupmeta,meta_key,string
bp_groups_groupmeta,meta_value,string
bp_messages_messages,id,num
bp_messages_messages,thread_id,num
bp_messages_messages,sender_id,num
bp_messages_messages,subject,string
bp_messages_messages,message,string
bp_messages_messages,date_sent,date
bp_messages_recipients,id,num
bp_messages_recipients,user_id,num
bp_messages_recipients,thread_id,num
bp_messages_recipients,unread_count,num
bp_messages_recipients,sender_only,num
bp_messages_recipients,is_deleted,num
bp_messages_notices,id,num
bp_messages_notices,subject,string
bp_messages_notices,message,string
bp_messages_notices,date_sent,date
bp_messages_notices,is_active,num
bp_messages_meta,id,num
bp_messages_meta,message_id,num
bp_messages_meta,meta_key,string
bp_messages_meta,meta_value,string
bp_xprofile_groups,id,num
bp_xprofile_groups,name,string
bp_xprofile_groups,description,string
bp_xprofile_groups,group_order,num
bp_xprofile_groups,can_delete,num
bp_xprofile_fields,id,num
bp_xprofile_fields,group_id,num
bp_xprofile_fields,parent_id,num
bp_xprofile_fields,type,string
bp_xprofile_fields,name,string
bp_xprofile_fields,description,string
bp_xprofile_fields,is_required,num
bp_xprofile_fields,is_default_option,num
bp_xprofile_fields,field_order,num
bp_xprofile_fields,option_order,num
bp_xprofile_fields,order_by,string
bp_xprofile_fields,can_delete,num
bp_xprofile_data,id,num
bp_xprofile_data,field_id,num
bp_xprofile_data,user_id,num
bp_xprofile_data,value,string
bp_xprofile_data,last_updated,date
bp_xprofile_meta,id,num
bp_xprofile_meta,object_id,num
bp_xprofile_meta,object_type,string
bp_xprofile_meta,meta_key,string
bp_xprofile_meta,meta_value,string
bp_user_blogs,id,num
bp_user_blogs,user_id,num
bp_user_blogs,blog_id,num
bp_user_blogs_blogmeta,id,num
bp_user_blogs_blogmeta,blog_id,num
bp_user_blogs_blogmeta,meta_key,string
bp_user_blogs_blogmeta,meta_value,string
bp_invitations,id,num
bp_invitations,user_id,num
bp_invitations,inviter_id,num
bp_invitations,invitee_email,string
bp_invitations,class,string
bp_invitations,item_id,num
bp_invitations,secondary_item_id,num
bp_invitations,type,string
bp_invitations,content,string
bp_invitations,date_modified,date
bp_invitations,invite_sent,num
bp_invitations,accepted,num
wp_users,id,num
