table_name,column_name,column_type
alert_acknowledgement,id,num
alert_acknowledgement,time,date
alert_acknowledgement,cancelled_time,date
alert_acknowledgement,cancelled_user_id,num
alert_acknowledgement,service_id,num
alert_acknowledgement,user_id,num
alert_plugin,id,num
alert_plugin,title,string
alert_plugin,enabled,boolean
alert_plugin,polumorphic_ctype,num
alert_plugin_user_data,id,num
alert_plugin_user_data,title,string
alert_plugin_user_data,polymorphic_ctype,num
alert_plugin_user_data,user_id,num
instance,id,num
instance,name,string
instance,alerts_enabled,boolean
instance,last_alert_sent,date
instance,email_alert,boolean
instance,hipchat_alert,boolean
instance,sms_alert,boolean
instance,telephone_alert,boolean
instance,overall_status,string
instance,old_overall_status,string
instance,hackpad_id,string
instance,runbook_link,string
instance,address,string
instance,alerts,num
alert_plugin_instance,id,num
alert_plugin_instance,alert_plugin_id,num
alert_plugin_instance,instance_id,num
instance_status_snapshot,id,num
instance_status_snapshot,time,date
instance_status_snapshot,num_checks_active,num
instance_status_snapshot,num_checks_passing,num
instance_status_snapshot,num_checks_failing,num
instance_status_snapshot,overall_status,string
instance_status_snapshot,did_send_alert,num
instance_status_snapshot,instance_id,num
service,id,num
service,name,string
service,alerts_enabled,boolean
service,last_alert_sent,date
service,email_alert,boolean
service,hipchat_alert,boolean
service,sms_alert,boolean
service,telephone_alert,boolean
service,overall_status,string
service,old_overall_status,string
service,hackpad_id,string
service,runbook_link,string
service,url,string
service,alerts,num
service,instances,num
service,is_public,boolean
alert_plugin_service,id,num
alert_plugin_service,alert_plugin_id,num
alert_plugin_service,service_id,num
instance_service,id,num
instance_service,instance_id,num
instance_service,service_id,num
service_status_snapshot,id,num
service_status_snapshot,time,date
service_status_snapshot,num_checks_active,num
service_status_snapshot,num_checks_passing,num
service_status_snapshot,num_checks_failing,num
service_status_snapshot,overall_status,string
service_status_snapshot,did_send_alert,num
service_status_snapshot,service_id,num
shift,id,num
shift,start,date
shift,end,date
shift,uid,string
shift,last_modified,date
shift,deleted,boolean
shift,user_id,num
user,id,num
user,username,string
user,first_name,string
user,last_name,string
user,email,string
user,password,string
user,is_staff,boolean
user,is_active,boolean
user,is_superuser,boolean
user,last_login,date
user,date_joined,date
status_check,id,num
status_check,name,string
status_check,active,boolean
status_check,importance,string
status_check,frequency,num
status_check,debounce,num
status_check,calculated_status,string
status_check,last_run,date
status_check,cached_health,string
status_check,metric,string
status_check,check_type,string
status_check,value,string
status_check,expected_num_hosts,num
status_check,allowed_num_failures,num
status_check,endpoint,string
status_check,username,string
status_check,password,string
status_check,text_match,string
status_check,status_code,string
status_check,timeout,num
status_check,verify_ssl_certificate,boolean
status_check,max_queued_build_time,num
status_check,created_by,num
status_check_result,id,num
status_check_result,time,date
status_check_result,time_complete,date
status_check_result,raw_data,string
status_check_result,succeeded,boolean
status_check_result,error,string
status_check_result,job_number,num
status_check_result,status_check_id,num
status_check_result,consecutive_failures,num
user_profile,id,num
user_profile,mobile_number,string
user_profile,hipchat_alias,string
user_profile,fallback_alert_user,boolean
user_profile,user_id,num
service_status_check,id,num
service_status_check,service_id,num
service_status_check,status_check_id,num
service_user,id,num
service_user,service_id,num
service_user,user_id,num
instance_status_check,id,num
instance_status_check,status_check_id,num
instance_status_check,instance_id,num
instance_users,id,num
instance_users,user_id,num
instance_users,instance_id,num
jenkins_status_check,statuscheck_ptr_id,num
jenkins_status_check,jenkins_config_id,num
jenkins_config,id,num
jenkins_config,name,string
jenkins_config,jenkins_api,string
jenkins_config,jenkins_user,string
jenkins_config,jenkins_pass,string
