table_name,column_name,column_type
actions,id,num
actions,class_name,string
actions,user_id,num
actions,username,string
actions,information,string
actions,description,string
actions,created_at,date
actions,updated_at,date
cache,value,string
cache,expiration,num
component_groups,id,num
component_groups,name,string
component_groups,order,num
component_groups,visible,num
component_groups,collapsed,num
component_groups,created_at,date
component_groups,updated_at,date
components,id,num
components,name,string
components,description,string
components,link,string
components,status,num
components,order,num
components,group_id,num
components,user_id,num
components,enabled,num
components,meta,string
components,created_at,date
components,updated_at,date
components,deleted_at,date
failed_jobs,id,num
failed_jobs,connection,string
failed_jobs,queue,string
failed_jobs,payload,string
failed_jobs,failed_at,date
incident_components,id,num
incident_components,incident_id,num
incident_components,component_id,num
incident_components,status_id,num
incident_components,created_at,date
incident_components,updated_at,date
incident_templates,id,num
incident_templates,name,string
incident_templates,slug,string
incident_templates,template,string
incident_templates,created_at,date
incident_templates,updated_at,date
incident_templates,deleted_at,date
incident_updates,id,num
incident_updates,incident_id,num
incident_updates,status,num
incident_updates,message,string
incident_updates,user_id,num
incident_updates,created_at,date
incident_updates,updated_at,date
incidents,id,num
incidents,user_id,num
incidents,component_id,num
incidents,name,string
incidents,status,num
incidents,visible,num
incidents,stickied,num
incidents,notifications,num
incidents,message,string
incidents,occurred_at,date
incidents,created_at,date
incidents,updated_at,date
incidents,deleted_at,date
invites,id,num
invites,code,string
invites,email,string
invites,claimed_at,date
invites,created_at,date
invites,updated_at,date
jobs,id,num
jobs,queue,string
jobs,payload,string
jobs,attempts,num
jobs,reserved,num
jobs,reserved_at,num
jobs,available_at,num
jobs,created_at,num
meta,id,num
meta,value,string
meta,meta_id,num
meta,meta_type,string
meta,created_at,date
meta,updated_at,date
metric_points,id,num
metric_points,metric_id,num
metric_points,value,num
metric_points,counter,num
metric_points,created_at,date
metric_points,updated_at,date
metrics,id,num
metrics,name,string
metrics,suffix,string
metrics,description,string
metrics,default_value,num
metrics,calc_type,num
metrics,display_chart,num
metrics,places,num
metrics,default_view,num
metrics,threshold,num
metrics,order,num
metrics,visible,num
metrics,created_at,date
metrics,updated_at,date
notifications,id,string
notifications,type,string
notifications,notifiable_type,string
notifications,notifiable_id,num
notifications,data,string
notifications,read_at,date
notifications,created_at,date
notifications,updated_at,date
schedule_components,id,num
schedule_components,schedule_id,num
schedule_components,component_id,num
schedule_components,component_status,num
schedule_components,created_at,date
schedule_components,updated_at,date
schedules,id,num
schedules,name,string
schedules,message,string
schedules,status,num
schedules,scheduled_at,date
schedules,completed_at,date
schedules,created_at,date
schedules,updated_at,date
schedules,deleted_at,date
sessions,id,string
sessions,user_id,num
sessions,ip_address,string
sessions,user_agent,string
sessions,payload,string
sessions,last_activity,num
settings,id,num
settings,name,string
settings,value,string
settings,created_at,date
settings,updated_at,date
subscribers,id,num
subscribers,email,string
subscribers,verify_code,string
subscribers,phone_number,string
subscribers,slack_webhook_url,string
subscribers,verified_at,date
subscribers,global,num
subscribers,created_at,date
subscribers,updated_at,date
subscriptions,id,num
subscriptions,subscriber_id,num
subscriptions,component_id,num
subscriptions,created_at,date
subscriptions,updated_at,date
taggables,id,num
taggables,tag_id,num
taggables,taggable_type,string
taggables,taggable_id,num
taggables,created_at,date
taggables,updated_at,date
tags,id,num
tags,name,string
tags,slug,string
tags,created_at,date
tags,updated_at,date
users,id,num
users,username,string
users,password,string
users,remember_token,string
users,google_2fa_secret,string
users,email,string
users,api_key,string
users,active,num
users,level,num
users,welcomed,num
users,created_at,date
users,updated_at,date
