table_name,column_name,column_type
canvas_posts,id,string
canvas_posts,slug,string
canvas_posts,title,string
canvas_posts,summary,string
canvas_posts,body,string
canvas_posts,published_at,date
canvas_posts,featured_image,string
canvas_posts,featured_image_caption,string
canvas_posts,user_id,num
canvas_posts,meta,string
canvas_posts,created_at,date
canvas_posts,updated_at,date
canvas_posts,deleted_at,date
canvas_posts_tags,tag_id,string
canvas_posts_tags,post_id,string
canvas_posts_topics,post_id,string
canvas_posts_topics,topic_id,string
canvas_tags,id,string
canvas_tags,slug,string
canvas_tags,name,string
canvas_tags,user_id,num
canvas_tags,created_at,date
canvas_tags,updated_at,date
canvas_tags,deleted_at,date
canvas_topics,id,string
canvas_topics,slug,string
canvas_topics,name,string
canvas_topics,user_id,num
canvas_topics,created_at,date
canvas_topics,updated_at,date
canvas_topics,deleted_at,date
canvas_user_meta,id,num
canvas_user_meta,user_id,num
canvas_user_meta,username,string
canvas_user_meta,summary,string
canvas_user_meta,avatar,string
canvas_user_meta,dark_mode,num
canvas_user_meta,digest,num
canvas_user_meta,locale,string
canvas_user_meta,created_at,date
canvas_user_meta,updated_at,date
canvas_views,id,num
canvas_views,post_id,string
canvas_views,ip,string
canvas_views,agent,string
canvas_views,referer,string
canvas_views,created_at,date
canvas_views,updated_at,date
canvas_visits,id,num
canvas_visits,post_id,string
canvas_visits,ip,string
canvas_visits,agent,string
canvas_visits,referer,string
canvas_visits,created_at,date
canvas_visits,updated_at,date
users,id,num
users,name,string
users,email,string
users,email_verified_at,date
users,password,string
users,remember_token,string
users,created_at,date
users,updated_at,date
