table_name,column_name,column_type
car_makers,Id,num
car_makers,Maker,string
car_makers,FullName,string
car_makers,Country,string
car_names,MakeId,num
car_names,Model,string
car_names,Make,string
cars_data,Id,num
cars_data,MPG,string
cars_data,Cylinders,num
cars_data,Edispl,num
cars_data,Horsepower,string
cars_data,Weight,num
cars_data,Accelerate,num
cars_data,Year,num
continents,ContId,num
continents,Continent,string
countries,CountryId,num
countries,CountryName,string
countries,Continent,num
model_list,ModelId,num
model_list,Maker,num
model_list,Model,string
