table_name,column_name,column_type
country,Country_Id,num
country,Country,string
country,Capital,string
country,Official_native_language,string
country,Regoin,string
driver,Driver_ID,num
driver,Driver,string
driver,Country,num
driver,Age,num
driver,Car_#,num
driver,Make,string
driver,Points,string
driver,Laps,num
driver,Winnings,string
team,Team_ID,num
team,Team,string
team,Make,string
team,Manager,string
team,Sponsor,string
team,Car_Owner,string
team_driver,Team_ID,num
team_driver,Driver_ID,num
