table_name,column_name,column_type
customers,addressLine1,string
customers,addressLine2,string
customers,city,string
customers,contactFirstName,string
customers,contactLastName,string
customers,country,string
customers,creditLimit,num
customers,customerName,string
customers,customerNumber,num
customers,phone,string
customers,postalCode,string
customers,salesRepEmployeeNumber,num
customers,state,string
employees,email,string
employees,employeeNumber,num
employees,extension,string
employees,firstName,string
employees,jobTitle,string
employees,lastName,string
employees,officeCode,string
employees,reportsTo,num
offices,addressLine1,string
offices,addressLine2,string
offices,city,string
offices,country,string
offices,officeCode,string
offices,phone,string
offices,postalCode,string
offices,state,string
offices,territory,string
orderdetails,orderLineNumber,string
orderdetails,orderNumber,num
orderdetails,priceEach,num
orderdetails,productCode,string
orderdetails,quantityOrdered,num
orders,comments,string
orders,customerNumber,num
orders,orderDate,date
orders,orderNumber,num
orders,requiredDate,date
orders,shippedDate,date
orders,status,string
payments,amount,num
payments,checkNumber,num
payments,customerNumber,num
payments,paymentDate,date
productlines,htmlDescription,string
productlines,image,binary
productlines,productLine,string
productlines,textDescription,string
products,MSRP,num
products,buyPrice,num
products,productCode,num
products,productDescription,string
products,productLine,string
products,productName,string
products,productScale,num
products,productVendor,string
products,quantityInStock,num
