table_name,column_name,column_type
customers,id,num
customers,billable_id,num
customers,billable_type,num
customers,trial_ends_at,date
customers,updated_at,date
customers,created_at,date
subscriptions,id,num
subscriptions,billable_id,num
subscriptions,billable_type,string
subscriptions,name,string
subscriptions,paddle_id,num
subscriptions,paddle_status,string
subscriptions,paddle_plan,num
subscriptions,quantity,num
subscriptions,trial_ends_at,date
subscriptions,paused_from,date
subscriptions,ends_at,date
subscriptions,updated_at,date
subscriptions,created_at,date
receipts,id,num
receipts,billable_id,num
receipts,billable_type,string
receipts,paddle_subscription_id,num
receipts,checkout_id,string
receipts,order_id,string
receipts,amount,string
receipts,tax,string
receipts,currency,string
receipts,quantity,num
receipts,receipt_url,string
receipts,paid_at,date
receipts,updated_at,date
receipts,created_at,date
