table_name,column_name,column_type
access_tokens,id,num
access_tokens,owner_type,string
access_tokens,owner_id,num
access_tokens,token,string
access_tokens,created_at,date
access_tokens,updated_at,date
account_users,id,num
account_users,account_id,num
account_users,user_id,num
account_users,role,num
account_users,inviter_id,num
account_users,created_at,date
account_users,updated_at,date
accounts,id,num
accounts,name,string
accounts,created_at,date
accounts,updated_at,date
accounts,locale,num
active_storage_attachments,id,num
active_storage_attachments,name,string
active_storage_attachments,record_type,string
active_storage_attachments,record_id,num
active_storage_attachments,blob_id,num
active_storage_attachments,created_at,date
active_storage_blobs,id,num
active_storage_blobs,filename,string
active_storage_blobs,content_type,string
active_storage_blobs,metadata,string
active_storage_blobs,byte_size,num
active_storage_blobs,checksum,string
active_storage_blobs,created_at,date
agent_bot_inboxes,id,num
agent_bot_inboxes,inbox_id,num
agent_bot_inboxes,agent_bot_id,num
agent_bot_inboxes,status,num
agent_bot_inboxes,created_at,date
agent_bot_inboxes,updated_at,date
agent_bot_inboxes,account_id,num
agent_bots,id,num
agent_bots,name,string
agent_bots,description,string
agent_bots,outgoing_url,string
agent_bots,created_at,date
agent_bots,updated_at,date
attachments,id,num
attachments,file_type,num
attachments,external_url,string
attachments,coordinates_lat,num
attachments,coordinates_long,num
attachments,message_id,num
attachments,account_id,num
attachments,created_at,date
attachments,updated_at,date
attachments,fallback_title,string
attachments,extension,string
canned_responses,id,num
canned_responses,account_id,num
canned_responses,short_code,string
canned_responses,content,string
canned_responses,created_at,date
canned_responses,updated_at,date
channel_facebook_pages,id,num
channel_facebook_pages,name,string
channel_facebook_pages,page_id,string
channel_facebook_pages,user_access_token,string
channel_facebook_pages,page_access_token,string
channel_facebook_pages,account_id,num
channel_facebook_pages,created_at,date
channel_facebook_pages,updated_at,date
channel_twilio_sms,id,num
channel_twilio_sms,phone_number,string
channel_twilio_sms,auth_token,string
channel_twilio_sms,account_sid,string
channel_twilio_sms,account_id,num
channel_twilio_sms,created_at,date
channel_twilio_sms,updated_at,date
channel_twitter_profiles,id,num
channel_twitter_profiles,name,string
channel_twitter_profiles,profile_id,string
channel_twitter_profiles,twitter_access_token,string
channel_twitter_profiles,twitter_access_token_secret,string
channel_twitter_profiles,account_id,num
channel_twitter_profiles,created_at,date
channel_twitter_profiles,updated_at,date
channel_web_widgets,id,num
channel_web_widgets,website_name,string
channel_web_widgets,website_url,string
channel_web_widgets,account_id,num
channel_web_widgets,created_at,date
channel_web_widgets,updated_at,date
channel_web_widgets,website_token,string
channel_web_widgets,widget_color,string
contact_inboxes,id,num
contact_inboxes,contact_id,num
contact_inboxes,inbox_id,num
contact_inboxes,source_id,string
contact_inboxes,created_at,date
contact_inboxes,updated_at,date
contacts,id,num
contacts,name,string
contacts,email,string
contacts,phone_number,string
contacts,account_id,num
contacts,created_at,date
contacts,updated_at,date
contacts,pubsub_token,string
contacts,additional_attributes,date
contacts,source_id,num
contacts,identifier,string
contacts,additional_attributes,string
conversations,id,num
conversations,account_id,num
conversations,inbox_id,num
conversations,status,num
conversations,assignee_id,num
conversations,created_at,date
conversations,updated_at,date
conversations,contact_id,num
conversations,display_id,num
conversations,user_last_seen_at,date
conversations,agent_last_seen_at,date
conversations,locked,num
conversations,contact_inbox_id,num
conversations,additional_attributes,string
events,id,num
events,name,string
events,value,num
events,account_id,num
events,inbox_id,num
events,user_id,num
events,conversation_id,num
events,created_at,date
events,updated_at,date
inbox_members,id,num
inbox_members,user_id,num
inbox_members,inbox_id,num
inbox_members,created_at,date
inbox_members,updated_at,date
inboxes,id,num
inboxes,channel_id,num
inboxes,account_id,num
inboxes,name,string
inboxes,created_at,date
inboxes,updated_at,date
inboxes,channel_type,string
inboxes,enable_auto_assignment,num
messages,id,num
messages,content,string
messages,account_id,num
messages,inbox_id,num
messages,conversation_id,num
messages,message_type,num
messages,created_at,date
messages,updated_at,date
messages,private,num
messages,user_id,num
messages,status,num
messages,source_id,string
messages,content_type,num
messages,content_attributes,string
messages,contact_id,num
notification_settings,id,num
notification_settings,account_id,num
notification_settings,user_id,num
notification_settings,email_flags,num
notification_settings,created_at,date
notification_settings,updated_at,date
subscriptions,id,num
subscriptions,pricing_version,string
subscriptions,account_id,num
subscriptions,expiry,date
subscriptions,billing_plan,string
subscriptions,stripe_customer_id,string
subscriptions,created_at,date
subscriptions,updated_at,date
subscriptions,state,num
subscriptions,payment_source_added,num
taggings,id,num
taggings,tag_id,num
taggings,taggable_type,string
taggings,taggable_id,num
taggings,tagger_type,string
taggings,tagger_id,num
taggings,context,string
taggings,created_at,date
tags,id,num
tags,name,string
tags,taggings_count,num
telegram_bots,id,num
telegram_bots,name,string
telegram_bots,auth_key,string
telegram_bots,account_id,num
telegram_bots,created_at,date
telegram_bots,updated_at,date
users,id,num
users,provider,string
users,uid,string
users,inviter,num
users,encrypted_password,string
users,reset_password_token,string
users,reset_password_sent_at,date
users,remember_created_at,date
users,sign_in_count,num
users,current_sign_in_at,date
users,last_sign_in_at,date
users,current_sign_in_ip,string
users,last_sign_in_ip,string
users,confirmation_token,string
users,confirmed_at,date
users,confirmation_sent_at,date
users,unconfirmed_email,string
users,name,string
users,nickname,string
users,email,string
users,tokens,string
users,created_at,date
users,updated_at,date
users,pubsub_token,string
webhooks,id,num
webhooks,account_id,num
webhooks,inbox_id,num
webhooks,url,string
webhooks,created_at,date
webhooks,updated_at,date
webhooks,webhook_type,num
