table_name,column_name,column_type
Community_Area,community_area_name,string
Community_Area,community_area_no,num
Community_Area,population,string
Community_Area,side,string
Crime,arrest,boolean
Crime,beat,num
Crime,block,string
Crime,case_number,num
Crime,community_area_no,string
Crime,date,date
Crime,district_no,num
Crime,domestic,string
Crime,fbi_code_no,string
Crime,iucr_no,string
Crime,latitude,string
Crime,location_description,string
Crime,longitude,string
Crime,report_no,string
Crime,ward_no,num
District,address,string
District,commander,string
District,district_name,string
District,district_no,num
District,email,string
District,fax,string
District,phone,string
District,tty,string
District,twitter,string
District,zip_code,num
FBI_Code,crime_against,string
FBI_Code,description,string
FBI_Code,fbi_code_no,string
FBI_Code,title,string
IUCR,index_code,string
IUCR,iucr_no,string
IUCR,primary_description,string
IUCR,secondary_description,string
Neighborhood,community_area_no,num
Neighborhood,neighborhood_name,string
Ward,alderman_first_name,string
Ward,alderman_last_name,string
Ward,alderman_name_suffix,string
Ward,city_hall_office_fax,string
Ward,city_hall_office_phone,string
Ward,city_hall_office_room,num
Ward,ward_email,string
Ward,ward_no,num
Ward,ward_office_address,string
Ward,ward_office_fax,string
Ward,ward_office_phone,string
Ward,ward_office_zip,string
