table_name,column_name,column_type
city,City_ID,num
city,City,string
city,Hanzi,string
city,Hanyu_Pinyin,string
city,Regional_Population,num
city,GDP,num
hosting_city,Year,num
hosting_city,Match_ID,num
hosting_city,Host_City,string
match,Match_ID,num
match,Date,string
match,Venue,string
match,Score,string
match,Result,string
match,Competition,string
temperature,City_ID,num
temperature,Jan,num
temperature,Feb,num
temperature,Mar,num
temperature,Apr,num
temperature,Jun,num
temperature,Jul,num
temperature,Aug,num
temperature,Sep,num
temperature,Oct,num
temperature,Nov,num
temperature,Dec,num
