table_name,column_name,column_type
bootstrap4_alerts_bootstrap4alerts,cmsplugin_ptr_id,num
bootstrap4_alerts_bootstrap4alerts,alert_context,string
bootstrap4_alerts_bootstrap4alerts,alert_dismissable,num
bootstrap4_alerts_bootstrap4alerts,tag_type,string
bootstrap4_alerts_bootstrap4alerts,attributes,string
bootstrap4_badge_bootstrap4badge,cmsplugin_ptr_id,num
bootstrap4_badge_bootstrap4badge,badge_text,string
bootstrap4_badge_bootstrap4badge,badge_context,string
bootstrap4_badge_bootstrap4badge,badge_pills,num
bootstrap4_badge_bootstrap4badge,attributes,string
bootstrap4_card_bootstrap4card,cmsplugin_ptr_id,num
bootstrap4_card_bootstrap4card,card_type,string
bootstrap4_card_bootstrap4card,card_context,string
bootstrap4_card_bootstrap4card,card_alignment,string
bootstrap4_card_bootstrap4card,card_outline,num
bootstrap4_card_bootstrap4card,card_text_color,string
bootstrap4_card_bootstrap4card,tag_type,string
bootstrap4_card_bootstrap4card,attributes,string
bootstrap4_card_bootstrap4cardinner,cmsplugin_ptr_id,num
bootstrap4_card_bootstrap4cardinner,inner_type,string
bootstrap4_card_bootstrap4cardinner,tag_type,string
bootstrap4_card_bootstrap4cardinner,attributes,string
bootstrap4_carousel_bootstrap4carousel,cmsplugin_ptr_id,num
bootstrap4_carousel_bootstrap4carousel,template,string
bootstrap4_carousel_bootstrap4carousel,carousel_interval,num
bootstrap4_carousel_bootstrap4carousel,carousel_controls,num
bootstrap4_carousel_bootstrap4carousel,carousel_indicators,num
bootstrap4_carousel_bootstrap4carousel,carousel_keyboard,num
bootstrap4_carousel_bootstrap4carousel,carousel_pause,string
bootstrap4_carousel_bootstrap4carousel,carousel_ride,string
bootstrap4_carousel_bootstrap4carousel,carousel_wrap,num
bootstrap4_carousel_bootstrap4carousel,tag_type,string
bootstrap4_carousel_bootstrap4carousel,attributes,string
bootstrap4_carousel_bootstrap4carousel,carousel_aspect_ratio,string
bootstrap4_carousel_bootstrap4carouselslide,template,string
bootstrap4_carousel_bootstrap4carouselslide,name,string
bootstrap4_carousel_bootstrap4carouselslide,external_link,string
bootstrap4_carousel_bootstrap4carouselslide,anchor,string
bootstrap4_carousel_bootstrap4carouselslide,mailto,string
bootstrap4_carousel_bootstrap4carouselslide,phone,string
bootstrap4_carousel_bootstrap4carouselslide,target,string
bootstrap4_carousel_bootstrap4carouselslide,attributes,string
bootstrap4_carousel_bootstrap4carouselslide,cmsplugin_ptr_id,num
bootstrap4_carousel_bootstrap4carouselslide,carousel_content,string
bootstrap4_carousel_bootstrap4carouselslide,tag_type,string
bootstrap4_carousel_bootstrap4carouselslide,carousel_image_id,num
bootstrap4_carousel_bootstrap4carouselslide,internal_link_id,num
bootstrap4_carousel_bootstrap4carouselslide,file_link_id,num
bootstrap4_collapse_bootstrap4collapse,cmsplugin_ptr_id,num
bootstrap4_collapse_bootstrap4collapse,siblings,string
bootstrap4_collapse_bootstrap4collapse,tag_type,string
bootstrap4_collapse_bootstrap4collapse,attributes,string
bootstrap4_collapse_bootstrap4collapsecontainer,cmsplugin_ptr_id,num
bootstrap4_collapse_bootstrap4collapsecontainer,identifier,string
bootstrap4_collapse_bootstrap4collapsecontainer,tag_type,string
bootstrap4_collapse_bootstrap4collapsecontainer,attributes,string
bootstrap4_collapse_bootstrap4collapsetrigger,cmsplugin_ptr_id,num
bootstrap4_collapse_bootstrap4collapsetrigger,identifier,string
bootstrap4_collapse_bootstrap4collapsetrigger,tag_type,string
bootstrap4_collapse_bootstrap4collapsetrigger,attributes,string
bootstrap4_content_bootstrap4blockquote,cmsplugin_ptr_id,num
bootstrap4_content_bootstrap4blockquote,quote_content,string
bootstrap4_content_bootstrap4blockquote,quote_origin,string
bootstrap4_content_bootstrap4blockquote,quote_alignment,string
bootstrap4_content_bootstrap4blockquote,attributes,string
bootstrap4_content_bootstrap4code,cmsplugin_ptr_id,num
bootstrap4_content_bootstrap4code,code_content,string
bootstrap4_content_bootstrap4code,tag_type,string
bootstrap4_content_bootstrap4code,attributes,string
bootstrap4_content_bootstrap4figure,cmsplugin_ptr_id,num
bootstrap4_content_bootstrap4figure,figure_caption,string
bootstrap4_content_bootstrap4figure,figure_alignment,string
bootstrap4_content_bootstrap4figure,attributes,string
bootstrap4_grid_bootstrap4gridcolumn,cmsplugin_ptr_id,num
bootstrap4_grid_bootstrap4gridcolumn,column_type,string
bootstrap4_grid_bootstrap4gridcolumn,column_alignment,string
bootstrap4_grid_bootstrap4gridcolumn,tag_type,string
bootstrap4_grid_bootstrap4gridcolumn,attributes,string
bootstrap4_grid_bootstrap4gridcolumn,xs_col,num
bootstrap4_grid_bootstrap4gridcolumn,xs_order,num
bootstrap4_grid_bootstrap4gridcolumn,xs_ml,num
bootstrap4_grid_bootstrap4gridcolumn,xs_mr,num
bootstrap4_grid_bootstrap4gridcolumn,sm_col,num
bootstrap4_grid_bootstrap4gridcolumn,sm_order,num
bootstrap4_grid_bootstrap4gridcolumn,sm_ml,num
bootstrap4_grid_bootstrap4gridcolumn,sm_mr,num
bootstrap4_grid_bootstrap4gridcolumn,md_col,num
bootstrap4_grid_bootstrap4gridcolumn,md_order,num
bootstrap4_grid_bootstrap4gridcolumn,md_ml,num
bootstrap4_grid_bootstrap4gridcolumn,md_mr,num
bootstrap4_grid_bootstrap4gridcolumn,lg_col,num
bootstrap4_grid_bootstrap4gridcolumn,lg_order,num
bootstrap4_grid_bootstrap4gridcolumn,lg_ml,num
bootstrap4_grid_bootstrap4gridcolumn,lg_mr,num
bootstrap4_grid_bootstrap4gridcolumn,xl_col,num
bootstrap4_grid_bootstrap4gridcolumn,xl_order,num
bootstrap4_grid_bootstrap4gridcolumn,xl_ml,num
bootstrap4_grid_bootstrap4gridcolumn,xl_mr,num
bootstrap4_grid_bootstrap4gridcolumn,lg_offset,num
bootstrap4_grid_bootstrap4gridcolumn,md_offset,num
bootstrap4_grid_bootstrap4gridcolumn,sm_offset,num
bootstrap4_grid_bootstrap4gridcolumn,xl_offset,num
bootstrap4_grid_bootstrap4gridcolumn,xs_offset,num
bootstrap4_grid_bootstrap4gridcontainer,cmsplugin_ptr_id,num
bootstrap4_grid_bootstrap4gridcontainer,container_type,string
bootstrap4_grid_bootstrap4gridcontainer,tag_type,string
bootstrap4_grid_bootstrap4gridcontainer,attributes,string
bootstrap4_grid_bootstrap4gridrow,cmsplugin_ptr_id,num
bootstrap4_grid_bootstrap4gridrow,vertical_alignment,string
bootstrap4_grid_bootstrap4gridrow,horizontal_alignment,string
bootstrap4_grid_bootstrap4gridrow,gutters,num
bootstrap4_grid_bootstrap4gridrow,tag_type,string
bootstrap4_grid_bootstrap4gridrow,attributes,string
bootstrap4_jumbotron_bootstrap4jumbotron,cmsplugin_ptr_id,num
bootstrap4_jumbotron_bootstrap4jumbotron,fluid,num
bootstrap4_jumbotron_bootstrap4jumbotron,tag_type,string
bootstrap4_jumbotron_bootstrap4jumbotron,attributes,string
bootstrap4_link_bootstrap4link,template,string
bootstrap4_link_bootstrap4link,name,string
bootstrap4_link_bootstrap4link,external_link,string
bootstrap4_link_bootstrap4link,anchor,string
bootstrap4_link_bootstrap4link,mailto,string
bootstrap4_link_bootstrap4link,phone,string
