table_name,column_name,column_type
Method,ApiCalls,string
Method,CommentIsXml,boolean
Method,FullComment,string
Method,Id,num
Method,Lang,string
Method,Name,string
Method,NameTokenized,string
Method,SampledAt,num
Method,SolutionId,num
Method,Summary,string
MethodParameter,Id,num
MethodParameter,MethodId,string
MethodParameter,Name,string
MethodParameter,Type,string
Repo,Forks,num
Repo,Id,num
Repo,ProcessedTime,num
Repo,Stars,num
Repo,Url,string
Repo,Watchers,num
Solution,Id,num
Solution,Path,string
Solution,ProcessedTime,num
Solution,RepoId,num
Solution,WasCompiled,num
