table_name,column_name,column_type
happy_hour,HH_ID,num
happy_hour,Shop_ID,num
happy_hour,Month,string
happy_hour,Num_of_shaff_in_charge,num
happy_hour_member,HH_ID,num
happy_hour_member,Member_ID,num
happy_hour_member,Total_amount,num
member,Member_ID,num
member,Name,string
member,Membership_card,string
member,Age,num
member,Time_of_purchase,num
member,Level_of_membership,num
member,Address,string
shop,Shop_ID,num
shop,Address,string
shop,Num_of_staff,string
shop,Score,num
shop,Open_Year,string
