table_name,column_name,column_type
Course,CID,string
Course,CName,string
Course,Credits,num
Course,Instructor,num
Course,Days,string
Course,Hours,string
Course,DNO,num
Department,DNO,num
Department,Division,string
Department,DName,string
Department,Room,string
Department,Building,string
Department,DPhone,num
Enrolled_in,StuID,num
Enrolled_in,CID,string
Enrolled_in,Grade,string
Faculty,FacID,num
Faculty,Lname,string
Faculty,Fname,string
Faculty,Rank,string
Faculty,Sex,string
Faculty,Phone,num
Faculty,Room,string
Faculty,Building,string
Gradeconversion,lettergrade,string
Gradeconversion,gradepoint,num
Member_of,FacID,num
Member_of,DNO,num
Member_of,Appt_Type,string
Minor_in,StuID,num
Minor_in,DNO,num
Student,StuID,num
Student,LName,string
Student,Fname,string
Student,Age,num
Student,Sex,string
Student,Major,num
Student,Advisor,num
Student,city_code,string
