table_name,column_name,column_type
institution_details,aid_percentile,num
institution_details,aid_value,string
institution_details,awards_per_natl_value,num
institution_details,awards_per_state_value,num
institution_details,awards_per_value,string
institution_details,basic,string
institution_details,chronname,string
institution_details,city,string
institution_details,control,string
institution_details,endow_percentile,string
institution_details,endow_value,string
institution_details,exp_award_natl_value,string
institution_details,exp_award_state_value,string
institution_details,exp_award_value,string
institution_details,flagship,string
institution_details,ft_fac_percentile,string
institution_details,ft_fac_value,string
institution_details,ft_pct,string
institution_details,fte_value,num
institution_details,grad_100_percentile,string
institution_details,grad_100_value,num
institution_details,grad_150_percentile,string
institution_details,grad_150_value,num
institution_details,hbcu,string
institution_details,lat_y,num
institution_details,level,string
institution_details,long_x,string
institution_details,med_sat_percentile,string
institution_details,med_sat_value,string
institution_details,pell_percentile,string
institution_details,pell_value,string
institution_details,retain_percentile,string
institution_details,retain_value,string
institution_details,site,string
institution_details,state,string
institution_details,student_count,num
institution_details,unitid,num
institution_details,vsa_enroll_after4_first,string
institution_details,vsa_enroll_after4_transfer,string
institution_details,vsa_enroll_after6_first,string
institution_details,vsa_enroll_after6_transfer,string
institution_details,vsa_enroll_elsewhere_after4_first,string
institution_details,vsa_enroll_elsewhere_after4_transfer,string
institution_details,vsa_enroll_elsewhere_after6_first,string
institution_details,vsa_enroll_elsewhere_after6_transfer,string
institution_details,vsa_grad_after4_first,string
institution_details,vsa_grad_after4_transfer,string
institution_details,vsa_grad_after6_first,string
institution_details,vsa_grad_after6_transfer,string
institution_details,vsa_grad_elsewhere_after4_first,string
institution_details,vsa_grad_elsewhere_after4_transfer,string
institution_details,vsa_grad_elsewhere_after6_first,string
institution_details,vsa_grad_elsewhere_after6_transfer,string
institution_details,vsa_year,string
institution_grads,cohort,string
institution_grads,gender,boolean
institution_grads,grad_100,num
institution_grads,grad_100_rate,string
institution_grads,grad_150,num
institution_grads,grad_150_rate,string
institution_grads,grad_cohort,num
institution_grads,race,string
institution_grads,unitid,num
institution_grads,year,string
state_sector_details,awards_per_natl_value,string
state_sector_details,awards_per_state_value,string
state_sector_details,control,string
state_sector_details,counted_pct,string
state_sector_details,exp_award_natl_value,string
state_sector_details,exp_award_state_value,string
state_sector_details,level,string
state_sector_details,state,string
state_sector_details,state_appr_value,string
state_sector_details,stateid,num
state_sector_grads,cohort,string
state_sector_grads,control,string
state_sector_grads,gender,boolean
state_sector_grads,grad_100,num
state_sector_grads,grad_100_rate,string
state_sector_grads,grad_150,num
state_sector_grads,grad_150_rate,string
state_sector_grads,grad_cohort,num
state_sector_grads,grad_cohort_ct,num
state_sector_grads,level,string
state_sector_grads,race,string
state_sector_grads,state,string
state_sector_grads,stateid,num
state_sector_grads,year,string
