table_name,column_name,column_type
Companies,id,num
Companies,name,string
Companies,Headquarters,string
Companies,Industry,string
Companies,Sales_billion,num
Companies,Profits_billion,num
Companies,Assets_billion,num
Companies,Market_Value_billion,string
Office_locations,building_id,num
Office_locations,company_id,num
Office_locations,move_in_year,num
buildings,id,num
buildings,name,string
buildings,City,string
buildings,Height,num
buildings,Stories,num
buildings,Status,string
