table_name,column_name,column_type
concert,concert_ID,num
concert,concert_Name,string
concert,Theme,string
concert,Stadium_ID,string
concert,Year,string
singer,Singer_ID,num
singer,Name,string
singer,Country,string
singer,Song_Name,string
singer,Song_release_year,string
singer,Age,num
singer,Is_male,boolean
singer_in_concert,concert_ID,num
singer_in_concert,Singer_ID,string
stadium,Stadium_ID,num
stadium,Location,string
stadium,Name,string
stadium,Capacity,num
stadium,Highest,num
stadium,Lowest,num
stadium,Average,num
