table_name,column_name,column_type
Ingredient,category,string
Ingredient,ingredient_id,num
Ingredient,name,string
Ingredient,plural,string
Nutrition,alcohol,num
Nutrition,calories,num
Nutrition,carbo,num
Nutrition,cholestrl,num
Nutrition,fiber,num
Nutrition,iron,num
Nutrition,pcnt_cal_carb,num
Nutrition,pcnt_cal_fat,num
Nutrition,pcnt_cal_prot,num
Nutrition,protein,num
Nutrition,recipe_id,num
Nutrition,sat_fat,num
Nutrition,sodium,num
Nutrition,total_fat,num
Nutrition,vitamin_a,num
Nutrition,vitamin_c,num
Quantity,ingredient_id,num
Quantity,max_qty,num
Quantity,min_qty,num
Quantity,optional,boolean
Quantity,preparation,string
Quantity,quantity_id,num
Quantity,recipe_id,num
Quantity,unit,string
Recipe,cook_min,string
Recipe,directions,string
Recipe,intro,string
Recipe,prep_min,string
Recipe,recipe_id,num
Recipe,servings,num
Recipe,source,string
Recipe,stnd_min,num
Recipe,subtitle,string
Recipe,title,string
Recipe,yield_unit,string
