table_name,column_name,column_type
city,City_ID,num
city,County_ID,num
city,Name,string
city,White,num
city,Black,num
city,Amerindian,num
city,Asian,num
city,Multiracial,num
city,Hispanic,num
county_public_safety,County_ID,num
county_public_safety,Name,string
county_public_safety,Population,num
county_public_safety,Police_officers,num
county_public_safety,Residents_per_officer,num
county_public_safety,Case_burden,num
county_public_safety,Crime_rate,num
county_public_safety,Police_force,string
county_public_safety,Location,string
