table_name,column_name,column_type
Addresses,address_id,num
Addresses,address_details,string
Circulation_History,document_id,num
Circulation_History,draft_number,num
Circulation_History,copy_number,num
Circulation_History,employee_id,num
Document_Drafts,document_id,num
Document_Drafts,draft_number,num
Document_Drafts,draft_details,string
Documents,document_id,num
Documents,document_status_code,string
Documents,document_type_code,string
Documents,shipping_agent_code,string
Documents,receipt_date,date
Documents,receipt_number,string
Documents,other_details,string
Documents_Mailed,document_id,num
Documents_Mailed,mailed_to_address_id,num
Documents_Mailed,mailing_date,date
Draft_Copies,document_id,num
Draft_Copies,draft_number,num
Draft_Copies,copy_number,num
Employees,employee_id,num
Employees,role_code,string
Employees,employee_name,string
Employees,other_details,string
Ref_Document_Status,document_status_code,string
Ref_Document_Status,document_status_description,string
Ref_Document_Types,document_type_code,string
Ref_Document_Types,document_type_description,string
Ref_Shipping_Agents,shipping_agent_code,string
Ref_Shipping_Agents,shipping_agent_name,string
Ref_Shipping_Agents,shipping_agent_description,string
Roles,role_code,string
Roles,role_description,string
