table_name,column_name,column_type
Documents,Document_ID,num
Documents,Template_ID,num
Documents,Document_Name,string
Documents,Document_Description,string
Documents,Other_Details,string
Paragraphs,Paragraph_ID,num
Paragraphs,Document_ID,num
Paragraphs,Paragraph_Text,string
Paragraphs,Other_Details,string
Ref_Template_Types,Template_Type_Code,string
Ref_Template_Types,Template_Type_Description,string
Templates,Template_ID,num
Templates,Version_Number,num
Templates,Template_Type_Code,string
Templates,Date_Effective_From,date
Templates,Date_Effective_To,date
Templates,Template_Details,string
