table_name,column_name,column_type
All_Documents,Document_ID,num
All_Documents,Date_Stored,date
All_Documents,Document_Type_Code,string
All_Documents,Document_Name,string
All_Documents,Document_Description,string
All_Documents,Other_Details,string
Document_Locations,Document_ID,num
Document_Locations,Location_Code,string
Document_Locations,Date_in_Location_From,date
Document_Locations,Date_in_Locaton_To,date
Documents_to_be_Destroyed,Document_ID,num
Documents_to_be_Destroyed,Destruction_Authorised_by_Employee_ID,num
Documents_to_be_Destroyed,Destroyed_by_Employee_ID,num
Documents_to_be_Destroyed,Planned_Destruction_Date,date
Documents_to_be_Destroyed,Actual_Destruction_Date,date
Documents_to_be_Destroyed,Other_Details,string
Employees,Employee_ID,num
Employees,Role_Code,string
Employees,Employee_Name,string
Employees,Gender_MFU,string
Employees,Date_of_Birth,date
Employees,Other_Details,string
Ref_Calendar,Calendar_Date,date
Ref_Calendar,Day_Number,num
Ref_Document_Types,Document_Type_Code,string
Ref_Document_Types,Document_Type_Name,string
Ref_Document_Types,Document_Type_Description,string
Ref_Locations,Location_Code,string
Ref_Locations,Location_Name,string
Ref_Locations,Location_Description,string
Roles,Role_Code,string
Roles,Role_Name,string
Roles,Role_Description,string
